==PROF== Connected to process 3007516 (/home/yufan/gpu_kernel_design/executable-2080/CSGSorted.timesForProblemyolo-1)
warmup....
block shape <4, 16, 4>
grid shape <4, 1, 68>
64 272 272 32 3 | 1 17 4 1 8 4 4 2 1 
Input size: 1 X 32 X 274 X 274
Kernel size: 64 X 32 X 3 X 3
Output size: 1 X 64 X 272 X 272
==PROF== Disconnected from process 3007516
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description"
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (dram__cycles_active.avg.pct_of_peak_sustained_elapsed)","%","13.76",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed)","%","9.10",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed)","%","5.20",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed)","%","2.16",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","30.24",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed)","%","0.00",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","24.79",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed)","%","40.04",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","3.22",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed)","%","6.55",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0.04",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors.avg.pct_of_peak_sustained_elapsed)","%","4.73",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed)","%","2.21",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","10.67",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__t_sectors.avg.pct_of_peak_sustained_elapsed)","%","13.97",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed)","%","4.12",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","6.05",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed)","%","0",
"0","3007516","CSGSorted.timesForProblemyolo-1","127.0.0.1","conv_kernel(float const*, float const*, float*)","2022-Jun-13 12:11:17","1","7","GPU Speed Of Light","SOL {UNIT}: {COMPOUND_NAME} (sm__inst_executed.avg.pct_of_peak_sustained_elapsed)","%","45.26",
