==PROF== Connected to process 2794617 (/home/yufan/tvm-cudnn-v0.7/cudnn-profile/build/cudnn_ref)
Input size: 1 X 3 X 110 X 110
Kernel size: 32 X 3 X 3 X 3
Output size: 1 X 32 X 108 X 108
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_FFT
==PROF== Disconnected from process 2794617
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2794617","cudnn_ref","127.0.0.1","void DSE::regular_fft_pad<0, 1, 128, 16, 32, 1, float, float, float2>(float2*, float*, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)","2022-Jul-14 08:51:38","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","29,920"
"0","2794617","cudnn_ref","127.0.0.1","void DSE::regular_fft_pad<0, 1, 128, 16, 32, 1, float, float, float2>(float2*, float*, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)","2022-Jul-14 08:51:38","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","29,920"
"0","2794617","cudnn_ref","127.0.0.1","void DSE::regular_fft_pad<0, 1, 128, 16, 32, 1, float, float, float2>(float2*, float*, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)","2022-Jul-14 08:51:38","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","29,920"
"0","2794617","cudnn_ref","127.0.0.1","void DSE::regular_fft_pad<0, 1, 128, 16, 32, 1, float, float, float2>(float2*, float*, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)","2022-Jul-14 08:51:38","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","29,920"
"1","2794617","cudnn_ref","127.0.0.1","void DSE::vector_fft<0, 1, 128, 8, 8, 1, float, float, float2>(float2*, float2*, int, int3, int3)","2022-Jul-14 08:51:38","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","24,736"
"1","2794617","cudnn_ref","127.0.0.1","void DSE::vector_fft<0, 1, 128, 8, 8, 1, float, float, float2>(float2*, float2*, int, int3, int3)","2022-Jul-14 08:51:38","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","24,736"
"1","2794617","cudnn_ref","127.0.0.1","void DSE::vector_fft<0, 1, 128, 8, 8, 1, float, float, float2>(float2*, float2*, int, int3, int3)","2022-Jul-14 08:51:38","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","24,736"
"1","2794617","cudnn_ref","127.0.0.1","void DSE::vector_fft<0, 1, 128, 8, 8, 1, float, float, float2>(float2*, float2*, int, int3, int3)","2022-Jul-14 08:51:38","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","24,736"
"2","2794617","cudnn_ref","127.0.0.1","void DSE::regular_fft_pad<0, 1, 128, 16, 32, 1, float, float, float2>(float2*, float*, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)","2022-Jul-14 08:51:38","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","10,112"
"2","2794617","cudnn_ref","127.0.0.1","void DSE::regular_fft_pad<0, 1, 128, 16, 32, 1, float, float, float2>(float2*, float*, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)","2022-Jul-14 08:51:38","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","10,112"
"2","2794617","cudnn_ref","127.0.0.1","void DSE::regular_fft_pad<0, 1, 128, 16, 32, 1, float, float, float2>(float2*, float*, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)","2022-Jul-14 08:51:38","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","10,112"
"2","2794617","cudnn_ref","127.0.0.1","void DSE::regular_fft_pad<0, 1, 128, 16, 32, 1, float, float, float2>(float2*, float*, int, int3, int3, int, int3, int3, int, int, int, int, int, bool)","2022-Jul-14 08:51:38","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","10,112"
"3","2794617","cudnn_ref","127.0.0.1","void DSE::vector_fft<0, 1, 128, 8, 8, 1, float, float, float2>(float2*, float2*, int, int3, int3)","2022-Jul-14 08:51:38","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","4,512"
"3","2794617","cudnn_ref","127.0.0.1","void DSE::vector_fft<0, 1, 128, 8, 8, 1, float, float, float2>(float2*, float2*, int, int3, int3)","2022-Jul-14 08:51:38","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","4,512"
