==PROF== Connected to process 2802382 (/home/yufan/tvm-cudnn-v0.7/cudnn-profile/build/cudnn_ref)
Input size: 1 X 256 X 14 X 14
Kernel size: 512 X 256 X 1 X 1
Output size: 1 X 512 X 7 X 7
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_GEMM
==PROF== Disconnected from process 2802382
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2802382","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, float const*, float*)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","4,128"
"0","2802382","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, float const*, float*)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","4,128"
"0","2802382","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, float const*, float*)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","4,128"
"0","2802382","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, float const*, float*)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","4,128"
"1","2802382","cudnn_ref","127.0.0.1","void cask_cudnn::computeOffsetsKernel<false, false>(cask_cudnn::ComputeOffsetsParams)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","2,720"
"1","2802382","cudnn_ref","127.0.0.1","void cask_cudnn::computeOffsetsKernel<false, false>(cask_cudnn::ComputeOffsetsParams)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","2,720"
"1","2802382","cudnn_ref","127.0.0.1","void cask_cudnn::computeOffsetsKernel<false, false>(cask_cudnn::ComputeOffsetsParams)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","2,720"
"1","2802382","cudnn_ref","127.0.0.1","void cask_cudnn::computeOffsetsKernel<false, false>(cask_cudnn::ComputeOffsetsParams)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","2,720"
"2","2802382","cudnn_ref","127.0.0.1","volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_interior_nhwc_tn_v1","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","20,864"
"2","2802382","cudnn_ref","127.0.0.1","volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_interior_nhwc_tn_v1","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","20,864"
"2","2802382","cudnn_ref","127.0.0.1","volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_interior_nhwc_tn_v1","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","20,864"
"2","2802382","cudnn_ref","127.0.0.1","volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_interior_nhwc_tn_v1","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","20,864"
"3","2802382","cudnn_ref","127.0.0.1","void cudnn::ops::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::ops::nhwc2nchw_params_t<float>, float const*, float*)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","3,840"
"3","2802382","cudnn_ref","127.0.0.1","void cudnn::ops::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::ops::nhwc2nchw_params_t<float>, float const*, float*)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","3,840"
"3","2802382","cudnn_ref","127.0.0.1","void cudnn::ops::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::ops::nhwc2nchw_params_t<float>, float const*, float*)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","3,840"
"3","2802382","cudnn_ref","127.0.0.1","void cudnn::ops::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::ops::nhwc2nchw_params_t<float>, float const*, float*)","2022-Jul-14 08:59:00","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","3,840"
