==PROF== Connected to process 2798388 (/home/yufan/tvm-cudnn-v0.7/cudnn-profile/build/cudnn_ref)
Input size: 1 X 64 X 58 X 58
Kernel size: 64 X 64 X 3 X 3
Output size: 1 X 64 X 56 X 56
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_FFT
==PROF== Disconnected from process 2798388
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2798388","cudnn_ref","127.0.0.1","void flip_filter<float, float>(float*, float const*, int, int, int, int)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","6,400"
"0","2798388","cudnn_ref","127.0.0.1","void flip_filter<float, float>(float*, float const*, int, int, int, int)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","6,400"
"0","2798388","cudnn_ref","127.0.0.1","void flip_filter<float, float>(float*, float const*, int, int, int, int)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","6,400"
"0","2798388","cudnn_ref","127.0.0.1","void flip_filter<float, float>(float*, float const*, int, int, int, int)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","6,400"
"1","2798388","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","148,992"
"1","2798388","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","148,992"
"1","2798388","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","148,992"
"1","2798388","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","148,992"
"2","2798388","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 08:55:12","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","8,768"
"2","2798388","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 08:55:12","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","8,768"
"2","2798388","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 08:55:12","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","8,768"
"2","2798388","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 08:55:12","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","8,768"
"3","2798388","cudnn_ref","127.0.0.1","void transpose_readWrite_alignment_kernel<float2, float2, 1, false, 6, 4, 4>(cublasTransposeParams<float2>, float2 const*, float2*, float2 const*)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","6,240"
"3","2798388","cudnn_ref","127.0.0.1","void transpose_readWrite_alignment_kernel<float2, float2, 1, false, 6, 4, 4>(cublasTransposeParams<float2>, float2 const*, float2*, float2 const*)","2022-Jul-14 08:55:12","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","6,240"
