==PROF== Connected to process 2805186 (/home/yufan/tvm-cudnn-v0.7/cudnn-profile/build/cudnn_ref)
Input size: 1 X 128 X 136 X 136
Kernel size: 64 X 128 X 1 X 1
Output size: 1 X 64 X 136 X 136
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_FFT_TILING
==PROF== Disconnected from process 2805186
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, true, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","14,528"
"0","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, true, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","14,528"
"0","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, true, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","14,528"
"0","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, true, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","14,528"
"1","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","17,760"
"1","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","17,760"
"1","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","17,760"
"1","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","17,760"
"2","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","28,640"
"2","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","28,640"
"2","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","28,640"
"2","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","28,640"
"3","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","7,552"
"3","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","7,552"
"3","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","7,552"
"3","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","7,552"
"4","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.avg","nsecond","17,568"
"4","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.max","nsecond","17,568"
"4","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.min","nsecond","17,568"
"4","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.sum","nsecond","17,568"
"5","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.avg","nsecond","28,800"
"5","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.max","nsecond","28,800"
"5","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.min","nsecond","28,800"
"5","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.sum","nsecond","28,800"
"6","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.avg","nsecond","7,008"
"6","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.max","nsecond","7,008"
"6","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.min","nsecond","7,008"
"6","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.sum","nsecond","7,008"
"7","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","17,824"
"7","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","17,824"
"7","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","17,824"
"7","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","17,824"
"8","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","28,704"
"8","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","28,704"
"8","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","28,704"
"8","2805186","cudnn_ref","127.0.0.1","volta_gcgemm_32x32_nt","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","28,704"
"9","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","7,392"
"9","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","7,392"
"9","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","7,392"
"9","2805186","cudnn_ref","127.0.0.1","void fft1d_c2r_32<float2, float, float, false, true, false, false>(float*, float2 const*, int, int3, int3, int2, int, float, float, float*, float*)","2022-Jul-14 09:02:22","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","7,392"
"10","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.avg","nsecond","17,376"
"10","2805186","cudnn_ref","127.0.0.1","void fft1d_r2c_32<float, float, float2, false, false>(float2*, float const*, int, int3, int3, int2, int2)","2022-Jul-14 09:02:22","1","14","Command line profiler metrics","gpu__time_duration.max","nsecond","17,376"
