==PROF== Connected to process 2807306 (/home/yufan/tvm-cudnn-v0.7/cudnn-profile/build/cudnn_ref)
Input size: 1 X 512 X 34 X 34
Kernel size: 256 X 512 X 1 X 1
Output size: 1 X 256 X 34 X 34
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_FFT
==PROF== Disconnected from process 2807306
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2807306","cudnn_ref","127.0.0.1","void flip_filter<float, float>(float*, float const*, int, int, int, int)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","105,056"
"0","2807306","cudnn_ref","127.0.0.1","void flip_filter<float, float>(float*, float const*, int, int, int, int)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","105,056"
"0","2807306","cudnn_ref","127.0.0.1","void flip_filter<float, float>(float*, float const*, int, int, int, int)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","105,056"
"0","2807306","cudnn_ref","127.0.0.1","void flip_filter<float, float>(float*, float const*, int, int, int, int)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","105,056"
"1","2807306","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","4,528,640"
"1","2807306","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","4,528,640"
"1","2807306","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","4,528,640"
"1","2807306","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","4,528,640"
"2","2807306","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 09:04:12","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","27,936"
"2","2807306","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 09:04:12","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","27,936"
"2","2807306","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 09:04:12","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","27,936"
"2","2807306","cudnn_ref","127.0.0.1","void fft2d_r2c_64x64<float, true>(float2*, float const*, int, int, int, int, int, int, int, int)","2022-Jul-14 09:04:12","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","27,936"
"3","2807306","cudnn_ref","127.0.0.1","void transpose_readWrite_alignment_kernel<float2, float2, 1, false, 6, 4, 4>(cublasTransposeParams<float2>, float2 const*, float2*, float2 const*)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","29,600"
"3","2807306","cudnn_ref","127.0.0.1","void transpose_readWrite_alignment_kernel<float2, float2, 1, false, 6, 4, 4>(cublasTransposeParams<float2>, float2 const*, float2*, float2 const*)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","29,600"
"3","2807306","cudnn_ref","127.0.0.1","void transpose_readWrite_alignment_kernel<float2, float2, 1, false, 6, 4, 4>(cublasTransposeParams<float2>, float2 const*, float2*, float2 const*)","2022-Jul-14 09:04:12","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","29,600"
