==PROF== Connected to process 12004 (/home/xu.2882/convolution_kernel/yufan-test-kernel/testbed/cudnn-testbed/build/cudnn_ref)
Input size: 1 X 64 X 29 X 29
Kernel size: 128 X 64 X 3 X 3
Output size: 1 X 128 X 27 X 27
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NONFUSED
==PROF== Disconnected from process 12004
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","16,512"
"0","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","16,512"
"0","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","16,512"
"0","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","16,512"
"1","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","6,656"
"1","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","6,656"
"1","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","6,656"
"1","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","6,656"
"2","12004","cudnn_ref","127.0.0.1","volta_sgemm_32x128_nn","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","62,304"
"2","12004","cudnn_ref","127.0.0.1","volta_sgemm_32x128_nn","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","62,304"
"2","12004","cudnn_ref","127.0.0.1","volta_sgemm_32x128_nn","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","62,304"
"2","12004","cudnn_ref","127.0.0.1","volta_sgemm_32x128_nn","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","62,304"
"3","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","29,824"
"3","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","29,824"
"3","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","29,824"
"3","12004","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)","2022-Jul-14 12:45:10","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","29,824"
