==PROF== Connected to process 15142 (/home/xu.2882/convolution_kernel/yufan-test-kernel/testbed/cudnn-testbed/build/cudnn_ref)
Input size: 1 X 512 X 9 X 9
Kernel size: 512 X 512 X 3 X 3
Output size: 1 X 512 X 7 X 7
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_FFT
==PROF== Disconnected from process 15142
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","15142","cudnn_ref","127.0.0.1","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","456,576"
"0","15142","cudnn_ref","127.0.0.1","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","456,576"
"0","15142","cudnn_ref","127.0.0.1","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","456,576"
"0","15142","cudnn_ref","127.0.0.1","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","456,576"
"1","15142","cudnn_ref","127.0.0.1","void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","568,160"
"1","15142","cudnn_ref","127.0.0.1","void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","568,160"
"1","15142","cudnn_ref","127.0.0.1","void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","568,160"
"1","15142","cudnn_ref","127.0.0.1","void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","568,160"
"2","15142","cudnn_ref","127.0.0.1","void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)","2022-Jul-14 12:53:22","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","10,656"
"2","15142","cudnn_ref","127.0.0.1","void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)","2022-Jul-14 12:53:22","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","10,656"
"2","15142","cudnn_ref","127.0.0.1","void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)","2022-Jul-14 12:53:22","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","10,656"
"2","15142","cudnn_ref","127.0.0.1","void fft2d_r2c_16x16<float>(float2 *, const T1 *, int, int, int, int, int, int, int, int)","2022-Jul-14 12:53:22","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","10,656"
"3","15142","cudnn_ref","127.0.0.1","void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13, T6, T6)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","367,968"
"3","15142","cudnn_ref","127.0.0.1","void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13, T6, T6)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","367,968"
"3","15142","cudnn_ref","127.0.0.1","void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13, T6, T6)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","367,968"
"3","15142","cudnn_ref","127.0.0.1","void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13, T6, T6)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","367,968"
"4","15142","cudnn_ref","127.0.0.1","void fft2d_c2r_16x16<float, (bool)0>(T1 *, float2 *, int, int, int, int, int, int, int, int, int, int, float, float, int, T1 *, T1 *)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","12,352"
"4","15142","cudnn_ref","127.0.0.1","void fft2d_c2r_16x16<float, (bool)0>(T1 *, float2 *, int, int, int, int, int, int, int, int, int, int, float, float, int, T1 *, T1 *)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","12,352"
"4","15142","cudnn_ref","127.0.0.1","void fft2d_c2r_16x16<float, (bool)0>(T1 *, float2 *, int, int, int, int, int, int, int, int, int, int, float, float, int, T1 *, T1 *)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","12,352"
"4","15142","cudnn_ref","127.0.0.1","void fft2d_c2r_16x16<float, (bool)0>(T1 *, float2 *, int, int, int, int, int, int, int, int, int, int, float, float, int, T1 *, T1 *)","2022-Jul-14 12:53:22","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","12,352"
