==PROF== Connected to process 13089 (/home/xu.2882/convolution_kernel/yufan-test-kernel/testbed/cudnn-testbed/build/cudnn_ref)
Input size: 1 X 64 X 58 X 58
Kernel size: 128 X 64 X 3 X 3
Output size: 1 X 128 X 28 X 28
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRECOMP_GEMM
==PROF== Disconnected from process 13089
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","13089","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","6,752"
"0","13089","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","6,752"
"0","13089","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","6,752"
"0","13089","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","6,752"
"1","13089","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","6,592"
"1","13089","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","6,592"
"1","13089","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","6,592"
"1","13089","cudnn_ref","127.0.0.1","void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","6,592"
"2","13089","cudnn_ref","127.0.0.1","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","3,968"
"2","13089","cudnn_ref","127.0.0.1","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2022-Jul-14 12:48:18","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","3,968"
