==PROF== Connected to process 17052 (/home/xu.2882/convolution_kernel/yufan-test-kernel/testbed/cudnn-testbed/build/cudnn_ref)
Input size: 1 X 256 X 36 X 36
Kernel size: 512 X 256 X 3 X 3
Output size: 1 X 512 X 34 X 34
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NONFUSED
==PROF== Disconnected from process 17052
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","75,648"
"0","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","75,648"
"0","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","75,648"
"0","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","75,648"
"1","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","31,296"
"1","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","31,296"
"1","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","31,296"
"1","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","31,296"
"2","17052","cudnn_ref","127.0.0.1","volta_sgemm_32x128_nn","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","1,112,896"
"2","17052","cudnn_ref","127.0.0.1","volta_sgemm_32x128_nn","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","1,112,896"
"2","17052","cudnn_ref","127.0.0.1","volta_sgemm_32x128_nn","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","1,112,896"
"2","17052","cudnn_ref","127.0.0.1","volta_sgemm_32x128_nn","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","1,112,896"
"3","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","144,096"
"3","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","144,096"
"3","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","144,096"
"3","17052","cudnn_ref","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)","2022-Jul-14 12:59:30","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","144,096"
