==PROF== Connected to process 17748 (/home/xu.2882/convolution_kernel/yufan-test-kernel/testbed/cudnn-testbed/build/cudnn_ref)
Input size: 1 X 1024 X 17 X 17
Kernel size: 512 X 1024 X 1 X 1
Output size: 1 X 512 X 17 X 17
Algorithm: CUDNN_CONVOLUTION_FWD_ALGO_FFT
==PROF== Disconnected from process 17748
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","17748","cudnn_ref","127.0.0.1","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","905,728"
"0","17748","cudnn_ref","127.0.0.1","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","905,728"
"0","17748","cudnn_ref","127.0.0.1","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","905,728"
"0","17748","cudnn_ref","127.0.0.1","void flip_filter<float, float>(T2 *, const T1 *, int, int, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","905,728"
"1","17748","cudnn_ref","127.0.0.1","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","4,672,576"
"1","17748","cudnn_ref","127.0.0.1","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","4,672,576"
"1","17748","cudnn_ref","127.0.0.1","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","4,672,576"
"1","17748","cudnn_ref","127.0.0.1","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","4,672,576"
"2","17748","cudnn_ref","127.0.0.1","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)","2022-Jul-14 13:01:17","1","13","Command line profiler metrics","gpu__time_duration.avg","nsecond","19,456"
"2","17748","cudnn_ref","127.0.0.1","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)","2022-Jul-14 13:01:17","1","13","Command line profiler metrics","gpu__time_duration.max","nsecond","19,456"
"2","17748","cudnn_ref","127.0.0.1","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)","2022-Jul-14 13:01:17","1","13","Command line profiler metrics","gpu__time_duration.min","nsecond","19,456"
"2","17748","cudnn_ref","127.0.0.1","void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)","2022-Jul-14 13:01:17","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","19,456"
"3","17748","cudnn_ref","127.0.0.1","void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13, T6, T6)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","2,683,200"
"3","17748","cudnn_ref","127.0.0.1","void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13, T6, T6)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","2,683,200"
"3","17748","cudnn_ref","127.0.0.1","void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13, T6, T6)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","2,683,200"
"3","17748","cudnn_ref","127.0.0.1","void gemv2T_kernel_val<int, int, float2, float2, float2, float2, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13, T6, T6)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","2,683,200"
"4","17748","cudnn_ref","127.0.0.1","void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)1, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.avg","nsecond","19,008"
"4","17748","cudnn_ref","127.0.0.1","void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)1, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.max","nsecond","19,008"
"4","17748","cudnn_ref","127.0.0.1","void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)1, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.min","nsecond","19,008"
"4","17748","cudnn_ref","127.0.0.1","void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)1, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)","2022-Jul-14 13:01:17","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","19,008"
