K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,28,28,128,3,1,4,7,32,1,4,32,0.055955
128,28,28,128,3,4,1,2,32,4,7,4,0.159885
128,28,28,128,3,4,2,2,32,2,2,32,0.290095
128,28,28,128,3,2,1,1,32,1,4,8,0.20116499999999998
128,28,28,128,3,2,2,2,32,7,1,1,0.269135
128,28,28,128,3,4,2,4,32,14,1,1,0.6118250000000001
128,28,28,128,3,1,4,7,32,1,2,4,0.05971
128,28,28,128,3,4,1,7,32,14,2,8,0.107635
128,28,28,128,3,2,1,1,32,2,7,8,0.23029
128,28,28,128,3,2,1,1,32,2,7,2,0.22774
128,28,28,128,3,4,4,4,32,1,1,2,0.319235
128,28,28,128,3,1,2,2,32,1,7,8,0.099025
128,28,28,128,3,2,1,2,32,2,14,32,0.262625
128,28,28,128,3,2,1,1,32,1,14,4,0.20888
128,28,28,128,3,1,1,2,32,4,7,16,0.222445
128,28,28,128,3,4,4,7,32,1,2,8,0.10587
128,28,28,128,3,2,2,2,32,7,2,2,0.17260999999999999
128,28,28,128,3,2,1,1,32,4,1,16,0.312465
128,28,28,128,3,2,2,4,32,7,1,1,0.23078500000000002
128,28,28,128,3,1,1,4,32,2,7,1,0.15374500000000002
128,28,28,128,3,4,2,4,32,2,7,32,0.13408
128,28,28,128,3,4,1,1,32,4,1,1,0.23827
128,28,28,128,3,2,1,14,32,14,1,4,0.092015
128,28,28,128,3,4,1,28,32,2,1,16,0.05565
128,28,28,128,3,4,1,7,32,1,1,16,0.109295
128,28,28,128,3,1,1,7,32,4,2,2,0.098195
128,28,28,128,3,1,1,4,32,2,1,8,0.134735
128,28,28,128,3,2,2,2,32,2,2,8,0.14056000000000002
128,28,28,128,3,1,1,7,32,2,2,32,0.09457499999999999
128,28,28,128,3,4,2,7,32,1,2,32,0.082785
128,28,28,128,3,4,1,1,32,1,14,4,0.21552
128,28,28,128,3,2,1,1,32,1,4,1,0.20969500000000002
128,28,28,128,3,1,2,28,32,2,1,8,0.050195000000000004
128,28,28,128,3,1,1,7,32,7,2,1,0.17608000000000001
128,28,28,128,3,4,1,7,32,1,2,4,0.08891
128,28,28,128,3,4,2,7,32,2,1,4,0.1728
128,28,28,128,3,4,1,2,32,14,1,32,0.32576
128,28,28,128,3,4,1,2,32,2,7,2,0.19256
128,28,28,128,3,4,4,7,32,7,1,2,0.34837
128,28,28,128,3,2,4,14,32,1,2,2,0.17469
128,28,28,128,3,1,7,7,32,2,1,2,0.11472
128,28,28,128,3,2,1,14,32,1,1,4,0.06091
128,28,28,128,3,4,1,2,32,7,2,8,0.182
128,28,28,128,3,4,1,14,32,4,2,32,0.07446
128,28,28,128,3,1,2,2,32,1,7,2,0.10253
128,28,28,128,3,1,1,1,32,1,14,8,0.29267
128,28,28,128,3,4,2,2,32,1,2,8,0.23912
128,28,28,128,3,4,1,4,32,2,1,2,0.14883000000000002
128,28,28,128,3,2,1,14,32,7,1,1,0.206815
