K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
1024, 60, 60, 128, 3, 1, 1, 20, 32, 1, 1, 1, 1.18598 
1024, 60, 60, 128, 3, 1, 1, 30, 32, 1, 1, 1, 1.03424 
1024, 60, 60, 128, 3, 1, 2, 10, 32, 1, 1, 1, 1.09664 
1024, 60, 60, 128, 3, 1, 2, 12, 32, 1, 1, 1, 1.00653 
1024, 60, 60, 128, 3, 1, 2, 15, 32, 1, 1, 1, 1.18973 
1024, 60, 60, 128, 3, 1, 2, 20, 32, 1, 1, 1, 0.99181 
1024, 60, 60, 128, 3, 1, 2, 30, 32, 1, 1, 1, 1.13181 
1024, 60, 60, 128, 3, 1, 3, 6, 32, 1, 1, 1, 1.32941 
1024, 60, 60, 128, 3, 1, 3, 10, 32, 1, 1, 1, 1.11606 
1024, 60, 60, 128, 3, 1, 3, 12, 32, 1, 1, 1, 1.15520 
1024, 60, 60, 128, 3, 1, 3, 15, 32, 1, 1, 1, 1.22890 
1024, 60, 60, 128, 3, 1, 3, 20, 32, 1, 1, 1, 1.28400 
1024, 60, 60, 128, 3, 1, 4, 4, 32, 1, 1, 1, 1.67418 
1024, 60, 60, 128, 3, 1, 4, 5, 32, 1, 1, 1, 1.53206 
1024, 60, 60, 128, 3, 1, 4, 6, 32, 1, 1, 1, 1.31200 
1024, 60, 60, 128, 3, 1, 4, 10, 32, 1, 1, 1, 1.31731 
1024, 60, 60, 128, 3, 1, 4, 12, 32, 1, 1, 1, 1.35869 
1024, 60, 60, 128, 3, 1, 4, 15, 32, 1, 1, 1, 1.46608 
1024, 60, 60, 128, 3, 1, 4, 20, 32, 1, 1, 1, 1.61885 
1024, 60, 60, 128, 3, 1, 5, 5, 32, 1, 1, 1, 1.39629 
1024, 60, 60, 128, 3, 1, 5, 6, 32, 1, 1, 1, 1.25661 
1024, 60, 60, 128, 3, 1, 5, 10, 32, 1, 1, 1, 1.32714 
1024, 60, 60, 128, 3, 1, 5, 12, 32, 1, 1, 1, 1.50627 
1024, 60, 60, 128, 3, 1, 5, 15, 32, 1, 1, 1, 1.60630 
1024, 60, 60, 128, 3, 1, 6, 6, 32, 1, 1, 1, 1.22323 
1024, 60, 60, 128, 3, 1, 6, 10, 32, 1, 1, 1, 1.36086 
1024, 60, 60, 128, 3, 1, 6, 12, 32, 1, 1, 1, 1.41382 
1024, 60, 60, 128, 3, 1, 6, 15, 32, 1, 1, 1, 1.51434 
1024, 60, 60, 128, 3, 2, 1, 10, 32, 1, 1, 1, 1.58035 
1024, 60, 60, 128, 3, 2, 1, 12, 32, 1, 1, 1, 1.61792 
1024, 60, 60, 128, 3, 2, 1, 15, 32, 1, 1, 1, 1.21901 
1024, 60, 60, 128, 3, 2, 1, 20, 32, 1, 1, 1, 0.98512 
1024, 60, 60, 128, 3, 2, 1, 30, 32, 1, 1, 1, 1.03171 
1024, 60, 60, 128, 3, 2, 2, 4, 32, 1, 1, 1, 2.34426 
1024, 60, 60, 128, 3, 2, 2, 5, 32, 1, 1, 1, 1.46627 
1024, 60, 60, 128, 3, 2, 2, 6, 32, 1, 1, 1, 1.21904 
1024, 60, 60, 128, 3, 2, 2, 10, 32, 1, 1, 1, 1.03619 
1024, 60, 60, 128, 3, 2, 2, 12, 32, 1, 1, 1, 0.95328 
1024, 60, 60, 128, 3, 2, 2, 15, 32, 1, 1, 1, 1.04621 
1024, 60, 60, 128, 3, 2, 2, 20, 32, 1, 1, 1, 0.97526 
1024, 60, 60, 128, 3, 2, 3, 3, 32, 1, 1, 1, 2.20995 
1024, 60, 60, 128, 3, 2, 3, 4, 32, 1, 1, 1, 1.55485 
1024, 60, 60, 128, 3, 2, 3, 5, 32, 1, 1, 1, 1.41347 
1024, 60, 60, 128, 3, 2, 3, 6, 32, 1, 1, 1, 1.23245 
1024, 60, 60, 128, 3, 2, 3, 10, 32, 1, 1, 1, 1.12214 
1024, 60, 60, 128, 3, 2, 3, 12, 32, 1, 1, 1, 1.04816 
1024, 60, 60, 128, 3, 2, 3, 15, 32, 1, 1, 1, 1.14685 
1024, 60, 60, 128, 3, 2, 3, 20, 32, 1, 1, 1, 1.18899 
1024, 60, 60, 128, 3, 2, 4, 4, 32, 1, 1, 1, 2.09258 
1024, 60, 60, 128, 3, 2, 4, 5, 32, 1, 1, 1, 1.38634 
