K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,27,27,128,3,1,3,9,32,3,1,4,0.07613
128,27,27,128,3,2,1,1,32,1,3,32,0.352915
128,27,27,128,3,4,1,3,32,1,3,1,0.315455
128,27,27,128,3,1,1,1,32,1,1,2,0.40021
128,27,27,128,3,1,3,3,32,3,9,16,0.08512
128,27,27,128,3,1,1,27,32,1,1,32,0.05709
128,27,27,128,3,1,3,3,32,9,3,4,0.10022
128,27,27,128,3,1,1,1,32,9,1,32,0.553295
128,27,27,128,3,2,1,1,32,9,3,4,0.262895
128,27,27,128,3,1,1,9,32,1,3,16,0.06941
128,27,27,128,3,1,3,3,32,3,1,32,0.137375
128,27,27,128,3,1,3,3,32,9,1,16,0.124335
128,27,27,128,3,1,1,27,32,3,1,16,0.054655
128,27,27,128,3,1,1,1,32,9,3,1,0.31392
128,27,27,128,3,1,1,3,32,3,3,1,0.1551
128,27,27,128,3,2,1,1,32,1,9,4,0.187645
128,27,27,128,3,2,1,9,32,9,3,32,0.085325
128,27,27,128,3,4,1,9,32,9,3,4,0.173775
128,27,27,128,3,2,1,3,32,1,9,4,0.125745
128,27,27,128,3,1,1,9,32,9,3,32,0.10365
128,27,27,128,3,2,1,3,32,3,1,16,0.15885
128,27,27,128,3,1,1,3,32,3,3,2,0.15638
128,27,27,128,3,4,1,3,32,3,3,4,0.124255
128,27,27,128,3,2,1,3,32,9,3,2,0.18198
128,27,27,128,3,4,3,9,32,3,1,32,0.10808000000000001
128,27,27,128,3,1,3,27,32,1,1,16,0.05763
128,27,27,128,3,4,3,9,32,9,1,2,0.40792
128,27,27,128,3,4,3,3,32,3,3,1,0.50838
128,27,27,128,3,1,1,3,32,3,3,32,0.19016
128,27,27,128,3,2,1,27,32,3,1,4,0.08512
128,27,27,128,3,4,1,1,32,1,9,2,0.20768
128,27,27,128,3,1,1,1,32,3,3,8,0.27473499999999995
128,27,27,128,3,2,1,1,32,9,3,1,0.23741
128,27,27,128,3,1,3,27,32,3,1,2,0.13454500000000003
128,27,27,128,3,2,1,3,32,9,3,32,0.20934
128,27,27,128,3,2,1,3,32,9,3,8,0.16192
128,27,27,128,3,1,1,3,32,9,1,2,0.1833
128,27,27,128,3,4,1,3,32,3,9,16,0.17294500000000002
128,27,27,128,3,2,1,1,32,3,3,4,0.19478
128,27,27,128,3,4,1,1,32,9,1,2,0.2348
128,27,27,128,3,1,9,9,32,1,1,1,0.31936
128,27,27,128,3,4,1,3,32,3,9,1,0.5183
128,27,27,128,3,1,1,1,32,1,1,1,0.38861999999999997
128,27,27,128,3,1,3,3,32,1,9,4,0.08426
128,27,27,128,3,4,3,3,32,3,1,2,0.25022500000000003
128,27,27,128,3,2,1,3,32,3,9,16,0.16435
128,27,27,128,3,1,1,27,32,1,1,2,0.08568
128,27,27,128,3,1,9,9,32,1,3,2,0.13411
128,27,27,128,3,4,1,9,32,1,3,4,0.095615
128,27,27,128,3,1,3,3,32,3,3,2,0.12897999999999998
128,27,27,128,3,2,1,9,32,9,1,32,0.088335
128,27,27,128,3,2,1,3,32,9,1,2,0.140655
128,27,27,128,3,1,3,3,32,9,1,2,0.154545
128,27,27,128,3,1,1,9,32,1,1,2,0.08803
128,27,27,128,3,4,3,3,32,3,1,16,0.16099
128,27,27,128,3,4,1,27,32,3,1,2,0.186465
128,27,27,128,3,2,1,1,32,9,3,2,0.24202
128,27,27,128,3,2,3,3,32,3,1,8,0.08827499999999999
128,27,27,128,3,2,1,27,32,1,1,16,0.05053
128,27,27,128,3,4,3,3,32,3,1,32,0.24057499999999998
128,27,27,128,3,1,3,9,32,3,1,8,0.060335
128,27,27,128,3,4,3,3,32,9,1,16,0.17688
128,27,27,128,3,4,1,27,32,1,1,2,0.18750499999999998
128,27,27,128,3,1,1,1,32,9,3,8,0.32721500000000003
128,27,27,128,3,4,1,27,32,3,1,16,0.079085
128,27,27,128,3,1,3,9,32,9,1,8,0.09197
128,27,27,128,3,1,1,1,32,3,3,32,0.46602
128,27,27,128,3,4,3,9,32,9,1,16,0.09533
128,27,27,128,3,1,1,9,32,9,1,32,0.102605
128,27,27,128,3,4,1,3,32,3,3,1,0.33908499999999997
128,27,27,128,3,2,3,3,32,3,1,2,0.12445
128,27,27,128,3,4,1,3,32,3,1,4,0.12734499999999999
128,27,27,128,3,1,1,1,32,1,9,32,0.44408000000000003
128,27,27,128,3,2,1,1,32,3,3,32,0.39325
128,27,27,128,3,4,1,1,32,1,3,32,0.36134
128,27,27,128,3,4,3,3,32,3,3,2,0.268525
128,27,27,128,3,4,1,9,32,9,1,16,0.075455
128,27,27,128,3,1,1,1,32,3,1,4,0.278045
128,27,27,128,3,4,3,3,32,1,1,1,0.42600000000000005
128,27,27,128,3,1,1,1,32,3,9,32,0.54195
128,27,27,128,3,1,3,27,32,1,1,2,0.13515500000000003
128,27,27,128,3,4,1,9,32,3,1,8,0.068145
128,27,27,128,3,2,1,1,32,9,3,32,0.47256
128,27,27,128,3,2,3,9,32,3,1,4,0.10117000000000001
128,27,27,128,3,1,3,9,32,3,3,2,0.13832
128,27,27,128,3,2,1,1,32,1,1,4,0.31552
128,27,27,128,3,4,1,3,32,3,9,4,0.16097499999999998
128,27,27,128,3,1,3,3,32,1,3,1,0.14168
128,27,27,128,3,2,3,9,32,1,3,8,0.067855
128,27,27,128,3,1,9,9,32,1,3,1,0.253105
128,27,27,128,3,4,1,1,32,3,3,4,0.184595
128,27,27,128,3,1,9,9,32,1,1,8,0.0896
128,27,27,128,3,1,3,3,32,3,1,4,0.092845
128,27,27,128,3,4,3,3,32,3,9,16,0.11595
128,27,27,128,3,1,1,3,32,3,9,4,0.1784
128,27,27,128,3,2,1,9,32,9,1,1,0.244
128,27,27,128,3,1,3,3,32,3,1,16,0.11437
128,27,27,128,3,2,1,1,32,3,3,16,0.26727999999999996
128,27,27,128,3,2,1,9,32,1,1,1,0.16851
128,27,27,128,3,4,1,3,32,1,9,16,0.14269
128,27,27,128,3,2,1,1,32,3,9,2,0.24654500000000001
128,27,27,128,3,1,1,3,32,1,3,8,0.12396499999999999
128,27,27,128,3,1,1,27,32,9,1,8,0.08707
128,27,27,128,3,1,3,3,32,3,3,8,0.08611
128,27,27,128,3,4,1,9,32,9,1,1,0.36448
128,27,27,128,3,2,3,3,32,3,1,32,0.14686500000000002
128,27,27,128,3,2,1,27,32,9,1,2,0.23613
128,27,27,128,3,2,3,3,32,1,1,1,0.23427
128,27,27,128,3,4,3,3,32,1,1,16,0.18736
128,27,27,128,3,1,3,9,32,3,3,16,0.07094
128,27,27,128,3,2,1,9,32,3,1,4,0.07414499999999999
128,27,27,128,3,4,3,9,32,1,1,4,0.12598
128,27,27,128,3,1,3,3,32,1,1,32,0.18515
128,27,27,128,3,2,3,3,32,1,9,1,0.222495
128,27,27,128,3,1,1,9,32,1,1,32,0.118035
128,27,27,128,3,1,3,3,32,9,3,2,0.18064
128,27,27,128,3,1,1,27,32,1,1,1,0.14614
128,27,27,128,3,2,1,27,32,1,1,1,0.19832
128,27,27,128,3,1,3,27,32,1,1,8,0.0647
128,27,27,128,3,4,1,1,32,1,1,8,0.35589000000000004
128,27,27,128,3,4,1,1,32,3,1,4,0.212065
128,27,27,128,3,4,1,9,32,1,1,2,0.179155
128,27,27,128,3,2,1,9,32,9,1,8,0.076735
128,27,27,128,3,2,1,3,32,3,1,32,0.21328
128,27,27,128,3,1,1,9,32,3,1,2,0.09073500000000001
128,27,27,128,3,2,1,27,32,9,1,16,0.08086
128,27,27,128,3,2,3,9,32,3,1,8,0.07893
128,27,27,128,3,4,1,1,32,1,3,4,0.187295
128,27,27,128,3,2,3,9,32,1,1,1,0.30051
128,27,27,128,3,4,1,3,32,3,1,16,0.15324500000000002
128,27,27,128,3,4,1,3,32,9,3,16,0.17611500000000002
128,27,27,128,3,2,3,3,32,3,9,32,0.09094
