K,H,W,C,R,TH,TW,TK,WH,WW,WK,BH,BW,BK,Time
128,28,28,128,3,1,7,4,1,4,8,1,1,1,0.1785
128,28,28,128,3,1,7,4,1,4,8,1,1,2,0.157105
128,28,28,128,3,1,7,2,1,2,16,1,2,1,0.13080000000000003
128,28,28,128,3,1,7,2,1,4,8,4,1,4,0.18251499999999998
128,28,28,128,3,1,14,4,1,2,16,2,1,1,0.204115
128,28,28,128,3,1,2,2,1,1,32,2,14,1,0.14666
128,28,28,128,3,1,4,2,1,1,32,4,7,1,0.2004
128,28,28,128,3,1,1,2,1,4,8,4,7,1,0.177375
128,28,28,128,3,1,7,2,1,1,32,1,4,1,0.12919999999999998
128,28,28,128,3,1,7,2,1,1,32,4,4,1,0.18243
128,28,28,128,3,1,1,2,1,2,16,1,14,1,0.178095
128,28,28,128,3,1,14,2,1,2,16,2,1,1,0.14928
128,28,28,128,3,1,7,4,1,2,16,2,2,1,0.15597
128,28,28,128,3,1,14,2,1,2,16,1,1,1,0.17678500000000003
128,28,28,128,3,1,14,4,1,2,16,7,1,1,0.28218
128,28,28,128,3,1,1,4,1,4,8,2,7,1,0.147955
128,28,28,128,3,1,4,2,1,1,32,1,7,1,0.119885
128,28,28,128,3,1,7,8,1,4,8,7,1,1,0.28848
128,28,28,128,3,1,7,4,1,2,16,1,2,1,0.15693000000000001
128,28,28,128,3,1,7,2,1,4,8,7,1,1,0.136685
128,28,28,128,3,1,14,2,1,2,16,7,1,2,0.24016
128,28,28,128,3,1,7,4,1,4,8,4,1,2,0.16502
128,28,28,128,3,1,1,8,1,4,8,2,7,1,0.2516
128,28,28,128,3,1,4,2,1,1,32,2,7,1,0.11677
128,28,28,128,3,1,7,4,1,2,16,4,2,1,0.165055
128,28,28,128,3,1,7,4,1,4,8,2,1,2,0.1559
128,28,28,128,3,1,2,2,1,2,16,1,7,2,0.10461
128,28,28,128,3,1,1,2,1,4,8,1,7,2,0.17811
128,28,28,128,3,1,7,2,1,2,16,2,2,2,0.13062
128,28,28,128,3,1,7,4,1,2,16,7,2,1,0.250335
128,28,28,128,3,1,7,4,1,4,8,14,1,1,0.24934
128,28,28,128,3,1,28,2,1,1,32,2,1,1,0.20521499999999998
128,28,28,128,3,1,7,8,1,4,8,4,1,1,0.20685
128,28,28,128,3,1,7,4,1,4,8,7,1,1,0.18243
128,28,28,128,3,1,1,2,1,4,8,1,7,4,0.19043
128,28,28,128,3,1,1,2,1,2,16,1,14,2,0.19032
128,28,28,128,3,1,7,2,1,4,8,1,1,2,0.130865
128,28,28,128,3,1,14,2,1,2,16,14,1,1,0.23677
128,28,28,128,3,1,7,2,1,2,16,4,2,2,0.18243
128,28,28,128,3,1,7,2,1,1,32,7,4,1,0.30947
128,28,28,128,3,1,1,2,1,4,8,1,7,1,0.19951999999999998
128,28,28,128,3,1,1,8,1,4,8,1,7,1,0.23258
128,28,28,128,3,1,7,2,1,4,8,2,1,4,0.13062
128,28,28,128,3,1,7,2,1,4,8,4,1,2,0.12918
128,28,28,128,3,1,28,2,1,1,32,4,1,1,0.204335
128,28,28,128,3,1,7,2,1,2,16,7,2,2,0.30963
128,28,28,128,3,1,1,2,1,2,16,2,14,1,0.184755
128,28,28,128,3,1,7,2,1,2,16,7,2,1,0.1689
128,28,28,128,3,1,14,2,1,1,32,2,2,1,0.15153499999999998
128,28,28,128,3,1,2,2,1,2,16,2,7,2,0.14685
128,28,28,128,3,1,2,2,1,2,16,4,7,1,0.14138
128,28,28,128,3,1,14,2,1,1,32,4,2,1,0.15907
128,28,28,128,3,1,7,2,1,4,8,14,1,1,0.16032
128,28,28,128,3,1,1,4,1,4,8,1,7,1,0.15808
128,28,28,128,3,1,7,4,1,4,8,4,1,1,0.1537
128,28,28,128,3,1,2,4,1,2,16,1,7,1,0.1249
128,28,28,128,3,1,2,2,1,2,16,1,7,1,0.12157
128,28,28,128,3,1,7,2,1,2,16,14,2,1,0.300815
128,28,28,128,3,1,14,2,1,2,16,2,1,2,0.15162
128,28,28,128,3,1,2,2,1,2,16,2,7,1,0.100975
128,28,28,128,3,1,7,2,1,4,8,14,1,2,0.30064
128,28,28,128,3,1,14,2,1,2,16,1,1,2,0.1551
128,28,28,128,3,1,7,2,1,4,8,28,1,1,0.2972
128,28,28,128,3,1,7,2,1,4,8,7,1,4,0.30966
128,28,28,128,3,1,2,2,1,1,32,1,14,1,0.10458
128,28,28,128,3,1,14,4,1,2,16,1,1,1,0.23427
128,28,28,128,3,1,7,2,1,4,8,2,1,1,0.13245
128,28,28,128,3,1,14,2,1,2,16,4,1,2,0.159055
128,28,28,128,3,1,7,2,1,2,16,2,2,1,0.12782500000000002
128,28,28,128,3,1,14,2,1,2,16,7,1,1,0.17736000000000002
128,28,28,128,3,1,7,2,1,2,16,1,2,2,0.12915
128,28,28,128,3,1,7,2,1,2,16,4,2,1,0.12922
128,28,28,128,3,1,1,2,1,4,8,2,7,1,0.18102
128,28,28,128,3,1,1,2,1,4,8,2,7,2,0.184865
128,28,28,128,3,1,7,2,1,4,8,4,1,1,0.132625
128,28,28,128,3,1,1,2,1,1,32,1,28,1,0.1904
128,28,28,128,3,1,14,4,1,2,16,14,1,1,0.44531
128,28,28,128,3,1,14,2,1,2,16,4,1,1,0.1496
128,28,28,128,3,1,28,2,1,1,32,1,1,1,0.23526
128,28,28,128,3,1,7,2,1,4,8,1,1,1,0.15894
128,28,28,128,3,1,1,4,1,2,16,1,14,1,0.15318
128,28,28,128,3,1,7,2,1,1,32,2,4,1,0.13069
128,28,28,128,3,1,7,4,1,4,8,2,1,1,0.15139
128,28,28,128,3,1,1,4,1,4,8,1,7,2,0.15315
128,28,28,128,3,1,14,2,1,1,32,7,2,1,0.24024
128,28,28,128,3,1,7,2,1,4,8,2,1,2,0.12782500000000002
128,28,28,128,3,1,7,8,1,4,8,1,1,1,0.23616
128,28,28,128,3,1,28,2,1,1,32,7,1,1,0.28566
128,28,28,128,3,1,2,4,1,2,16,4,7,1,0.22583999999999999
128,28,28,128,3,1,2,4,1,2,16,2,7,1,0.13342500000000002
128,28,28,128,3,1,7,4,1,4,8,7,1,2,0.25051
128,28,28,128,3,1,7,2,1,4,8,7,1,2,0.16884500000000002
128,28,28,128,3,1,7,2,1,4,8,1,1,4,0.129345
128,28,28,128,3,1,14,4,1,2,16,4,1,1,0.20563
128,28,28,128,3,1,7,8,1,4,8,14,1,1,0.45914
128,28,28,128,3,1,14,2,1,1,32,1,2,1,0.1551
128,28,28,128,3,1,7,8,1,4,8,2,1,1,0.20422
