K,H,W,C,R,Th,Tw,Tk,Wh,Ww,Wk,Bh,Bw,Bk,Time
64, 588, 588, 32, 3, 1, 7, 4, 1, 4, 8, 1, 21, 1, 1.973984 
64, 588, 588, 32, 3, 1, 21, 4, 1, 4, 8, 1, 7, 1, 2.188096 
128, 264, 264, 256, 3, 1, 3, 2, 1, 4, 8, 1, 22, 1, 11.375456 
128, 264, 264, 256, 3, 1, 3, 2, 1, 8, 4, 1, 11, 1, 12.066368 
128, 264, 264, 256, 3, 1, 3, 4, 1, 4, 8, 1, 22, 1, 8.209632 
128, 264, 264, 256, 3, 1, 3, 8, 1, 8, 4, 2, 11, 1, 6.777600 
128, 264, 264, 256, 3, 1, 3, 8, 1, 8, 4, 1, 11, 2, 11.065376 
128, 264, 264, 256, 3, 1, 3, 16, 1, 8, 4, 1, 11, 1, 10.579552 
128, 264, 264, 256, 3, 1, 6, 2, 1, 4, 8, 1, 11, 1, 6.485856 
128, 264, 264, 256, 3, 1, 6, 2, 1, 4, 8, 1, 11, 2, 6.103808 
128, 264, 264, 256, 3, 1, 6, 4, 1, 2, 16, 1, 22, 1, 4.881568 
128, 264, 264, 256, 3, 1, 6, 4, 1, 4, 8, 1, 11, 1, 5.242912 
128, 264, 264, 256, 3, 1, 6, 4, 1, 4, 8, 1, 11, 2, 4.877056 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG128x264x264_256_3.cu:170, code: 701, reason: too many resources requested for launch
128, 264, 264, 256, 3, 1, 11, 2, 1, 2, 16, 1, 12, 1, 5.727520 
128, 264, 264, 256, 3, 1, 11, 2, 1, 2, 16, 1, 12, 2, 5.790592 
128, 264, 264, 256, 3, 1, 11, 2, 1, 4, 8, 4, 6, 1, 6.324192 
128, 264, 264, 256, 3, 1, 11, 2, 1, 4, 8, 1, 6, 2, 5.728672 
128, 264, 264, 256, 3, 1, 11, 2, 1, 8, 4, 4, 3, 1, 6.009216 
128, 264, 264, 256, 3, 1, 11, 2, 1, 8, 4, 6, 3, 1, 7.275904 
128, 264, 264, 256, 3, 1, 11, 2, 1, 8, 4, 1, 3, 2, 5.767744 
128, 264, 264, 256, 3, 1, 11, 2, 1, 8, 4, 3, 3, 2, 7.054048 
128, 264, 264, 256, 3, 1, 11, 4, 1, 2, 16, 1, 12, 1, 5.921120 
128, 264, 264, 256, 3, 1, 11, 4, 1, 4, 8, 2, 6, 1, 5.925984 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG128x264x264_256_3.cu:170, code: 701, reason: too many resources requested for launch
128, 264, 264, 256, 3, 1, 11, 4, 1, 8, 4, 3, 3, 1, 5.642208 
128, 264, 264, 256, 3, 1, 11, 4, 1, 8, 4, 1, 3, 2, 4.762368 
