K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
64,112,112,3,7,2,4,4,32,1,1,3,0.15312
64,112,112,3,7,2,2,2,32,7,1,1,0.10461
64,112,112,3,7,2,1,1,32,14,1,1,0.19368000000000002
64,112,112,3,7,2,2,4,32,1,1,1,0.06104
64,112,112,3,7,2,2,7,32,8,1,1,0.07142
64,112,112,3,7,1,2,8,32,4,1,3,0.06784
64,112,112,3,7,2,1,2,32,2,1,3,0.16576
64,112,112,3,7,1,1,2,32,7,1,1,0.11874
64,112,112,3,7,1,4,4,32,1,1,3,0.11597
64,112,112,3,7,1,1,7,32,4,1,1,0.05693
64,112,112,3,7,2,2,2,32,8,2,1,0.08283499999999999
64,112,112,3,7,2,1,1,32,1,2,1,0.15901
64,112,112,3,7,2,4,4,32,2,2,1,0.058865
64,112,112,3,7,1,1,1,32,16,1,1,0.21955
64,112,112,3,7,1,1,4,32,8,2,1,0.09528
64,112,112,3,7,1,1,7,32,2,1,3,0.084115
64,112,112,3,7,1,2,4,32,8,2,3,0.09469
64,112,112,3,7,1,2,2,32,7,1,3,0.218065
64,112,112,3,7,1,1,2,32,7,4,1,0.134675
64,112,112,3,7,2,1,4,32,7,2,1,0.099885
64,112,112,3,7,1,2,2,32,4,2,1,0.083265
64,112,112,3,7,2,2,2,32,7,2,3,0.15347
64,112,112,3,7,2,2,7,32,7,1,1,0.07325
64,112,112,3,7,1,4,4,32,4,1,1,0.063085
64,112,112,3,7,1,2,4,32,4,2,1,0.056015
64,112,112,3,7,2,1,1,32,4,2,1,0.16346
64,112,112,3,7,2,2,2,32,2,1,3,0.163985
64,112,112,3,7,2,4,4,32,2,2,3,0.09635
64,112,112,3,7,2,2,8,32,1,1,1,0.060270000000000004
64,112,112,3,7,2,1,1,32,16,1,3,0.32614
64,112,112,3,7,2,2,7,32,4,1,1,0.067565
64,112,112,3,7,1,1,2,32,1,1,1,0.132865
64,112,112,3,7,2,1,2,32,1,4,3,0.131855
64,112,112,3,7,2,1,1,32,1,1,3,0.394465
64,112,112,3,7,2,4,4,32,7,1,1,0.092755
64,112,112,3,7,2,1,8,32,8,1,3,0.119475
64,112,112,3,7,2,1,4,32,16,1,3,0.14182
64,112,112,3,7,2,1,8,32,4,1,1,0.053935
64,112,112,3,7,2,1,2,32,1,1,1,0.11722
64,112,112,3,7,2,4,4,32,2,1,1,0.09171499999999999
64,112,112,3,7,2,2,2,32,2,4,3,0.11741
64,112,112,3,7,2,2,2,32,4,4,1,0.07919999999999999
64,112,112,3,7,1,1,7,32,1,1,3,0.08552000000000001
64,112,112,3,7,1,2,2,32,2,1,3,0.16968
64,112,112,3,7,1,1,2,32,16,1,3,0.282815
64,112,112,3,7,1,2,8,32,1,1,3,0.068465
64,112,112,3,7,2,2,7,32,2,1,1,0.069555
64,112,112,3,7,2,2,8,32,8,1,3,0.10996500000000001
64,112,112,3,7,2,1,1,32,1,7,1,0.148175
64,112,112,3,7,2,1,8,32,7,1,3,0.1343
64,112,112,3,7,2,1,1,32,4,8,3,0.31793499999999997
64,112,112,3,7,2,1,1,32,2,8,3,0.250675
64,112,112,3,7,1,1,2,32,2,2,3,0.153775
64,112,112,3,7,1,1,2,32,7,4,3,0.20131
64,112,112,3,7,1,1,4,32,4,2,3,0.12918
64,112,112,3,7,1,1,1,32,2,4,1,0.17505500000000002
64,112,112,3,7,1,1,1,32,1,7,1,0.17194
64,112,112,3,7,1,1,2,32,14,1,1,0.128815
64,112,112,3,7,1,1,7,32,7,1,1,0.067215
64,112,112,3,7,2,2,4,32,2,2,1,0.048174999999999996
64,112,112,3,7,1,4,4,32,7,1,3,0.17978
64,112,112,3,7,2,1,2,32,16,1,1,0.14022
64,112,112,3,7,1,1,4,32,1,2,3,0.10749
64,112,112,3,7,2,2,2,32,7,1,3,0.20269
64,112,112,3,7,1,1,4,32,2,2,3,0.10637
64,112,112,3,7,1,2,2,32,4,4,3,0.14682
64,112,112,3,7,1,1,7,32,14,1,1,0.07576
64,112,112,3,7,1,1,4,32,16,1,1,0.09761500000000001
64,112,112,3,7,1,1,1,32,2,2,1,0.186415
64,112,112,3,7,1,2,4,32,2,2,1,0.05027
64,112,112,3,7,1,1,1,32,8,4,3,0.36273500000000003
64,112,112,3,7,2,1,2,32,14,1,1,0.111025
64,112,112,3,7,1,2,4,32,8,1,1,0.06665499999999999
64,112,112,3,7,2,2,7,32,1,1,1,0.06739
64,112,112,3,7,1,1,8,32,4,1,3,0.07725
64,112,112,3,7,2,1,1,32,2,1,1,0.17853
64,112,112,3,7,1,2,8,32,8,1,1,0.04902
64,112,112,3,7,2,1,1,32,2,7,1,0.15734
64,112,112,3,7,2,2,4,32,1,1,3,0.10525
64,112,112,3,7,1,4,4,32,7,1,1,0.103405
64,112,112,3,7,1,1,1,32,8,2,1,0.20427499999999998
64,112,112,3,7,2,2,2,32,8,1,3,0.187055
64,112,112,3,7,2,1,1,32,16,1,1,0.18784
64,112,112,3,7,2,4,4,32,2,1,3,0.153055
64,112,112,3,7,1,1,8,32,4,1,1,0.052669999999999995
64,112,112,3,7,1,1,1,32,4,8,1,0.2311
64,112,112,3,7,2,1,2,32,2,1,1,0.10227
64,112,112,3,7,1,2,4,32,2,1,3,0.106195
64,112,112,3,7,1,2,2,32,2,1,1,0.0905
64,112,112,3,7,1,1,7,32,8,1,3,0.090095
64,112,112,3,7,1,1,1,32,2,1,3,0.30568
64,112,112,3,7,1,1,1,32,14,2,3,0.399795
64,112,112,3,7,2,1,2,32,8,2,1,0.1348
64,112,112,3,7,1,1,1,32,8,4,1,0.23392
64,112,112,3,7,2,1,2,32,8,1,3,0.18382500000000002
64,112,112,3,7,2,1,1,32,8,2,1,0.16947
64,112,112,3,7,2,1,1,32,8,1,1,0.18157
64,112,112,3,7,2,2,2,32,2,1,1,0.0864
64,112,112,3,7,1,1,1,32,4,1,1,0.20264
64,112,112,3,7,2,2,4,32,4,2,1,0.05194
64,112,112,3,7,2,1,8,32,1,1,1,0.053935
64,112,112,3,7,2,2,4,32,1,2,1,0.04957
64,112,112,3,7,2,1,4,32,8,1,3,0.12910500000000003
64,112,112,3,7,1,1,1,32,2,7,3,0.29795
64,112,112,3,7,2,1,4,32,4,1,1,0.069905
64,112,112,3,7,2,2,7,32,8,1,3,0.111535
64,112,112,3,7,1,1,2,32,14,1,3,0.201875
64,112,112,3,7,2,1,2,32,4,2,1,0.09898
64,112,112,3,7,2,1,2,32,14,1,3,0.184115
64,112,112,3,7,2,1,1,32,7,4,3,0.33184
64,112,112,3,7,2,2,2,32,4,2,1,0.074605
64,112,112,3,7,1,2,2,32,2,4,3,0.128365
64,112,112,3,7,2,2,2,32,1,2,1,0.066125
64,112,112,3,7,1,2,8,32,7,1,1,0.057745
64,112,112,3,7,1,2,4,32,14,1,1,0.090675
64,112,112,3,7,2,1,1,32,4,7,3,0.324275
64,112,112,3,7,1,1,1,32,2,4,3,0.256785
64,112,112,3,7,1,1,1,32,7,4,1,0.2441
64,112,112,3,7,2,2,4,32,4,1,1,0.06157
64,112,112,3,7,1,1,1,32,4,1,3,0.30605
64,112,112,3,7,2,1,1,32,1,8,1,0.14371
64,112,112,3,7,2,1,4,32,1,2,1,0.066125
64,112,112,3,7,2,1,8,32,8,1,1,0.07136
64,112,112,3,7,2,1,1,32,16,2,1,0.20404499999999998
64,112,112,3,7,1,1,1,32,16,2,1,0.24683500000000003
64,112,112,3,7,2,1,2,32,14,2,3,0.19034
64,112,112,3,7,2,1,2,32,4,1,1,0.101395
64,112,112,3,7,1,1,2,32,1,2,1,0.10864
64,112,112,3,7,2,1,2,32,2,2,1,0.09226
64,112,112,3,7,2,2,8,32,7,1,1,0.074095
64,112,112,3,7,2,1,7,32,4,1,3,0.09357
64,112,112,3,7,1,1,4,32,4,1,3,0.11607999999999999
64,112,112,3,7,1,1,4,32,16,1,3,0.15803499999999998
64,112,112,3,7,2,1,1,32,4,2,3,0.25322
64,112,112,3,7,2,2,2,32,14,1,3,0.219585
64,112,112,3,7,1,1,4,32,1,1,3,0.128
64,112,112,3,7,1,1,1,32,8,1,1,0.20913500000000002
64,112,112,3,7,1,2,8,32,1,1,1,0.047825
64,112,112,3,7,1,1,8,32,1,1,1,0.05376
64,112,112,3,7,1,2,8,32,7,1,3,0.078
64,112,112,3,7,1,1,7,32,14,1,3,0.11622
64,112,112,3,7,1,2,4,32,1,2,1,0.05011
64,112,112,3,7,1,2,7,32,4,1,1,0.04976
64,112,112,3,7,1,1,2,32,1,4,1,0.101165
64,112,112,3,7,2,4,4,32,1,1,1,0.081455
64,112,112,3,7,2,1,7,32,7,1,1,0.08456
64,112,112,3,7,2,2,4,32,4,2,3,0.076625
64,112,112,3,7,1,2,2,32,1,2,1,0.07145499999999999
64,112,112,3,7,1,1,8,32,8,1,1,0.05693
64,112,112,3,7,2,2,2,32,7,2,1,0.09904
64,112,112,3,7,1,1,1,32,14,1,3,0.37363
