K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,136,136,64,3,4,2,2,32,1,1,16,2.178035
128,136,136,64,3,1,2,17,32,2,1,1,0.380415
128,136,136,64,3,2,1,17,32,8,1,2,0.39936
128,136,136,64,3,4,2,17,32,2,1,8,0.52941
128,136,136,64,3,4,1,1,32,8,4,16,2.72077
128,136,136,64,3,2,1,1,32,2,2,16,3.06586
128,136,136,64,3,1,1,1,32,1,4,2,1.47046
128,136,136,64,3,2,2,4,32,4,1,4,1.1223
128,136,136,64,3,2,1,4,32,1,1,8,1.0567549999999999
128,136,136,64,3,1,2,2,32,4,2,8,0.987155
128,136,136,64,3,4,2,2,32,4,2,32,2.39104
128,136,136,64,3,2,1,1,32,4,8,2,1.3583349999999998
128,136,136,64,3,1,1,1,32,4,8,1,1.728015
128,136,136,64,3,2,1,2,32,8,4,16,1.56058
128,136,136,64,3,2,1,1,32,2,8,8,1.665535
128,136,136,64,3,1,1,4,32,8,1,16,1.53702
128,136,136,64,3,4,1,1,32,4,4,32,4.33152
128,136,136,64,3,4,4,4,32,2,1,16,1.786895
128,136,136,64,3,2,1,1,32,2,2,1,1.150465
128,136,136,64,3,2,2,17,32,2,1,8,0.432655
128,136,136,64,3,1,2,2,32,1,1,4,1.00659
128,136,136,64,3,1,4,4,32,1,1,16,0.909295
128,136,136,64,3,4,1,2,32,4,4,2,1.1099999999999999
128,136,136,64,3,2,2,4,32,1,2,1,0.501775
128,136,136,64,3,4,2,4,32,2,1,1,1.15814
128,136,136,64,3,2,1,2,32,1,4,16,1.30253
128,136,136,64,3,1,1,4,32,2,1,2,0.76595
128,136,136,64,3,4,2,2,32,4,4,1,2.301455
128,136,136,64,3,2,1,4,32,1,2,16,1.042415
128,136,136,64,3,1,2,2,32,1,4,4,0.65229
128,136,136,64,3,1,2,4,32,1,2,16,0.979475
128,136,136,64,3,1,1,4,32,4,1,1,0.67482
128,136,136,64,3,2,1,2,32,2,1,2,0.87142
128,136,136,64,3,4,1,4,32,1,1,32,2.3511
128,136,136,64,3,4,1,1,32,4,4,4,1.170445
128,136,136,64,3,4,1,1,32,4,2,16,2.76787
128,136,136,64,3,4,2,4,32,1,2,32,1.389055
128,136,136,64,3,1,1,2,32,1,1,16,2.92966
128,136,136,64,3,2,4,4,32,2,1,16,1.08136
128,136,136,64,3,2,1,17,32,1,1,16,0.498675
128,136,136,64,3,2,1,4,32,2,1,32,2.4637599999999997
128,136,136,64,3,4,1,1,32,8,1,4,1.60872
128,136,136,64,3,2,1,1,32,8,2,32,5.44256
128,136,136,64,3,2,4,8,32,2,1,4,0.43161499999999997
128,136,136,64,3,1,1,17,32,4,1,16,0.50074
128,136,136,64,3,1,1,4,32,1,2,32,1.72851
128,136,136,64,3,4,2,4,32,4,1,2,1.244175
128,136,136,64,3,1,1,2,32,1,2,1,0.89702
128,136,136,64,3,4,2,8,32,2,1,8,0.63386
128,136,136,64,3,2,2,2,32,4,2,4,2.2021100000000002
128,136,136,64,3,2,1,17,32,4,1,2,0.31539
128,136,136,64,3,2,4,4,32,1,2,2,0.50997
128,136,136,64,3,4,1,1,32,8,4,32,4.73395
128,136,136,64,3,1,4,17,32,2,1,16,0.60056
128,136,136,64,3,2,1,2,32,1,4,32,2.16781
128,136,136,64,3,2,8,8,32,1,1,2,0.49869
128,136,136,64,3,2,2,4,32,2,2,32,1.33018
128,136,136,64,3,1,1,8,32,4,1,4,0.45363
128,136,136,64,3,4,1,1,32,2,8,16,2.22106
128,136,136,64,3,1,2,2,32,4,1,4,0.93594
128,136,136,64,3,1,1,4,32,8,2,8,0.84173
128,136,136,64,3,2,1,2,32,4,1,4,1.01683
128,136,136,64,3,4,4,4,32,1,1,32,2.65677
128,136,136,64,3,2,8,8,32,1,1,4,0.6149249999999999
128,136,136,64,3,1,1,1,32,1,1,8,3.64957
128,136,136,64,3,4,1,8,32,1,1,16,0.77418
128,136,136,64,3,2,1,1,32,2,2,4,1.42131
128,136,136,64,3,2,8,8,32,1,1,8,0.83917
128,136,136,64,3,1,1,1,32,4,8,4,2.01318
128,136,136,64,3,4,1,1,32,2,8,2,1.0107050000000002
128,136,136,64,3,1,4,8,32,2,1,8,0.45466
128,136,136,64,3,1,1,1,32,2,8,32,4.45542
128,136,136,64,3,4,2,17,32,2,1,1,0.39476500000000003
128,136,136,64,3,4,1,8,32,4,1,8,0.53555
128,136,136,64,3,2,1,4,32,4,1,16,1.43056
128,136,136,64,3,1,1,4,32,4,2,1,0.58982
128,136,136,64,3,2,2,2,32,1,2,1,2.0429
128,136,136,64,3,4,2,4,32,4,2,2,1.25288
128,136,136,64,3,2,4,8,32,1,1,8,0.52531
128,136,136,64,3,4,1,17,32,4,1,8,0.39219
128,136,136,64,3,4,1,4,32,4,1,4,0.60211
128,136,136,64,3,2,1,2,32,8,2,16,1.67731
128,136,136,64,3,4,1,1,32,8,4,4,1.400335
128,136,136,64,3,1,1,2,32,8,1,4,1.1991
128,136,136,64,3,4,1,2,32,8,1,1,1.12845
128,136,136,64,3,2,2,4,32,2,2,16,0.82432
128,136,136,64,3,1,2,4,32,4,1,2,0.72912
128,136,136,64,3,4,1,17,32,1,1,16,0.51814
128,136,136,64,3,4,1,2,32,1,2,2,1.12845
128,136,136,64,3,2,2,2,32,1,2,8,2.024975
128,136,136,64,3,1,2,2,32,1,2,8,1.03936
128,136,136,64,3,1,1,8,32,2,1,8,0.54989
128,136,136,64,3,1,1,1,32,1,8,16,2.56307
128,136,136,64,3,1,1,1,32,2,1,2,2.00038
128,136,136,64,3,2,4,4,32,2,2,16,0.72704
128,136,136,64,3,1,1,2,32,2,1,8,1.7710249999999998
128,136,136,64,3,1,2,4,32,1,1,2,0.59853
128,136,136,64,3,1,1,1,32,2,8,1,1.4848
128,136,136,64,3,4,1,4,32,2,1,16,1.29027
128,136,136,64,3,1,1,2,32,4,2,1,0.7721
128,136,136,64,3,1,1,1,32,2,2,4,1.79712
128,136,136,64,3,1,1,1,32,2,2,1,1.4889
128,136,136,64,3,4,1,1,32,4,4,8,1.54419
128,136,136,64,3,2,1,8,32,2,1,8,0.526355
128,136,136,64,3,4,1,1,32,4,4,1,1.02605
128,136,136,64,3,4,2,8,32,1,1,4,0.473075
128,136,136,64,3,4,1,1,32,2,4,32,4.096
128,136,136,64,3,4,1,2,32,2,1,4,1.24518
128,136,136,64,3,1,8,8,32,1,1,32,1.55443
128,136,136,64,3,2,1,1,32,1,2,4,1.50016
128,136,136,64,3,2,2,2,32,1,1,4,1.44947
128,136,136,64,3,1,2,2,32,1,2,2,0.73112
128,136,136,64,3,2,1,4,32,4,2,32,1.60461
128,136,136,64,3,1,2,2,32,4,1,8,1.29024
128,136,136,64,3,1,2,4,32,2,1,8,0.90931
128,136,136,64,3,4,2,8,32,2,1,16,0.90931
128,136,136,64,3,4,4,4,32,2,1,8,1.411585
128,136,136,64,3,1,1,2,32,8,1,2,1.0014850000000002
128,136,136,64,3,4,1,4,32,4,1,1,0.545805
128,136,136,64,3,2,4,4,32,2,1,4,0.7511049999999999
128,136,136,64,3,2,1,17,32,1,1,32,0.81869
128,136,136,64,3,1,1,8,32,8,1,1,0.4393
128,136,136,64,3,1,1,2,32,1,2,32,3.142125
128,136,136,64,3,1,1,2,32,1,2,8,1.32096
128,136,136,64,3,4,1,4,32,8,1,16,1.29638
128,136,136,64,3,2,2,2,32,1,2,2,2.1924
128,136,136,64,3,4,1,1,32,4,4,16,2.37978
128,136,136,64,3,1,1,4,32,8,1,8,1.05062
128,136,136,64,3,4,1,2,32,8,1,32,4.28749
128,136,136,64,3,1,2,2,32,1,1,2,0.84278
128,136,136,64,3,4,4,4,32,2,2,32,1.62714
128,136,136,64,3,1,1,8,32,1,1,4,0.54886
128,136,136,64,3,1,4,4,32,1,1,8,0.6103
128,136,136,64,3,4,2,8,32,1,1,16,0.8780950000000001
128,136,136,64,3,2,1,1,32,1,2,16,3.12422
128,136,136,64,3,1,1,1,32,4,1,2,1.85344
128,136,136,64,3,4,2,8,32,4,1,1,0.3799
128,136,136,64,3,1,1,2,32,4,2,2,0.81408
128,136,136,64,3,1,4,17,32,1,1,1,0.417265
128,136,136,64,3,1,1,1,32,2,2,16,3.37408
128,136,136,64,3,1,2,4,32,1,2,32,1.4295
128,136,136,64,3,2,1,1,32,8,4,16,3.00493
128,136,136,64,3,4,1,1,32,8,2,4,1.31226
128,136,136,64,3,1,1,17,32,1,1,2,0.33896000000000004
128,136,136,64,3,4,1,4,32,4,2,16,0.9431
128,136,136,64,3,4,4,4,32,2,1,32,2.668015
128,136,136,64,3,2,2,17,32,2,1,4,0.36966
128,136,136,64,3,4,1,1,32,4,1,1,1.10029
128,136,136,64,3,4,1,2,32,4,1,16,2.34803
128,136,136,64,3,1,2,2,32,4,4,4,0.65434
128,136,136,64,3,2,1,1,32,4,8,1,1.256465
128,136,136,64,3,1,1,4,32,4,2,4,0.67072
128,136,136,64,3,4,1,1,32,2,1,16,4.098034999999999
128,136,136,64,3,2,2,17,32,1,1,1,0.382995
128,136,136,64,3,1,1,2,32,4,2,8,1.20525
128,136,136,64,3,2,1,8,32,4,1,8,0.510995
128,136,136,64,3,2,2,4,32,4,2,2,0.46643
128,136,136,64,3,4,2,2,32,4,4,32,2.024465
128,136,136,64,3,1,4,4,32,1,1,2,0.42189
128,136,136,64,3,4,2,4,32,1,2,2,1.26771
128,136,136,64,3,1,1,1,32,2,1,32,8.50739
128,136,136,64,3,1,2,17,32,4,1,4,0.32874
128,136,136,64,3,4,2,8,32,4,1,4,0.48689499999999997
128,136,136,64,3,4,1,4,32,4,2,8,0.64768
128,136,136,64,3,4,1,1,32,4,1,16,4.05912
128,136,136,64,3,2,1,2,32,2,4,32,2.25178
128,136,136,64,3,2,1,2,32,2,2,1,0.68915
128,136,136,64,3,4,1,1,32,4,4,2,1.0368
128,136,136,64,3,1,1,1,32,2,8,4,1.69472
128,136,136,64,3,4,2,2,32,2,1,2,1.661965
128,136,136,64,3,1,1,8,32,1,1,16,0.82125
128,136,136,64,3,2,1,2,32,1,2,8,1.11411
128,136,136,64,3,4,4,4,32,2,2,2,0.78438
128,136,136,64,3,4,1,8,32,4,1,16,0.77414
128,136,136,64,3,2,1,8,32,4,1,1,0.39168000000000003
128,136,136,64,3,1,1,1,32,4,4,32,4.75341
128,136,136,64,3,1,1,4,32,2,1,16,1.571315
128,136,136,64,3,4,4,4,32,1,2,32,1.59795
128,136,136,64,3,4,1,1,32,1,1,8,2.65624
128,136,136,64,3,1,1,8,32,8,1,8,0.54579
128,136,136,64,3,2,1,8,32,2,1,1,0.415245
128,136,136,64,3,2,1,17,32,1,1,1,0.337425
128,136,136,64,3,1,1,1,32,8,2,2,1.66298
128,136,136,64,3,2,1,2,32,1,2,2,0.7721
128,136,136,64,3,2,1,1,32,2,4,4,1.29024
128,136,136,64,3,1,1,2,32,2,2,2,0.8489
128,136,136,64,3,1,2,8,32,2,1,8,0.45056
128,136,136,64,3,2,1,8,32,2,1,4,0.43828500000000004
128,136,136,64,3,2,2,4,32,1,2,2,0.491535
128,136,136,64,3,1,2,4,32,2,2,8,0.7127
128,136,136,64,3,4,1,4,32,2,2,32,1.572845
128,136,136,64,3,4,4,4,32,1,2,2,0.792065
128,136,136,64,3,1,1,17,32,4,1,32,0.7424
128,136,136,64,3,2,1,2,32,4,2,16,1.636865
128,136,136,64,3,2,1,4,32,2,2,2,0.59392
128,136,136,64,3,2,1,1,32,1,1,32,8.50125
128,136,136,64,3,1,1,17,32,8,1,32,0.80794
128,136,136,64,3,2,2,2,32,4,4,16,1.88467
128,136,136,64,3,1,1,2,32,2,2,32,3.05971
128,136,136,64,3,1,8,8,32,1,1,2,0.44646
128,136,136,64,3,2,2,8,32,1,1,32,1.16835
128,136,136,64,3,2,1,1,32,4,4,1,1.15048
128,136,136,64,3,2,1,1,32,2,8,1,1.14024
128,136,136,64,3,1,1,2,32,2,2,1,0.79053
128,136,136,64,3,1,2,2,32,1,1,8,1.35373
128,136,136,64,3,1,1,2,32,8,2,16,1.83706
128,136,136,64,3,4,1,4,32,8,2,1,0.57549
128,136,136,64,3,4,4,4,32,1,2,4,0.841235
128,136,136,64,3,4,1,1,32,4,8,2,1.14278
128,136,136,64,3,4,2,17,32,1,1,32,1.105905
128,136,136,64,3,2,1,2,32,4,4,32,2.28864
128,136,136,64,3,1,1,4,32,8,2,32,1.70803
128,136,136,64,3,4,2,17,32,1,1,2,0.364525
128,136,136,64,3,4,1,17,32,1,1,2,0.339455
128,136,136,64,3,2,2,2,32,4,1,32,3.566605
128,136,136,64,3,1,1,2,32,4,4,8,1.09056
128,136,136,64,3,1,1,17,32,8,1,8,0.45464000000000004
128,136,136,64,3,1,2,4,32,2,2,32,1.40595
128,136,136,64,3,4,2,2,32,2,2,16,2.29888
128,136,136,64,3,4,1,17,32,2,1,32,0.83149
128,136,136,64,3,4,2,4,32,1,1,2,1.268225
128,136,136,64,3,1,1,2,32,4,1,2,1.0025
128,136,136,64,3,4,1,2,32,8,1,2,1.21037
128,136,136,64,3,4,2,2,32,1,2,8,2.43149
128,136,136,64,3,1,1,17,32,2,1,1,0.35942
128,136,136,64,3,4,1,2,32,1,2,1,1.081855
128,136,136,64,3,2,1,1,32,2,1,16,4.508685
128,136,136,64,3,1,2,4,32,4,2,8,0.70451
128,136,136,64,3,1,2,8,32,2,1,2,0.35942
128,136,136,64,3,4,1,17,32,4,1,1,0.32254499999999997
128,136,136,64,3,1,1,4,32,1,2,8,0.87245
128,136,136,64,3,4,2,17,32,2,1,4,0.450545
128,136,136,64,3,2,1,2,32,1,2,32,2.87232
128,136,136,64,3,1,4,4,32,2,2,2,0.35123
128,136,136,64,3,2,1,8,32,2,1,32,1.15302
128,136,136,64,3,4,2,4,32,2,1,8,1.2032150000000001
128,136,136,64,3,2,2,2,32,2,2,32,2.46166
128,136,136,64,3,1,4,8,32,2,1,16,0.647155
128,136,136,64,3,1,4,4,32,1,2,2,0.35021
128,136,136,64,3,2,1,4,32,8,1,8,0.95437
128,136,136,64,3,4,1,4,32,2,2,8,0.6441
128,136,136,64,3,4,1,2,32,2,2,2,1.103345
128,136,136,64,3,1,1,2,32,2,1,2,1.08032
128,136,136,64,3,1,4,17,32,1,1,2,0.375805
128,136,136,64,3,1,1,4,32,1,2,4,0.74035
128,136,136,64,3,4,2,2,32,4,1,4,1.8421750000000001
128,136,136,64,3,4,4,4,32,1,1,16,1.75821
128,136,136,64,3,1,1,1,32,1,2,2,1.738765
128,136,136,64,3,4,1,1,32,1,2,2,1.10797
128,136,136,64,3,1,2,8,32,2,1,32,0.97638
128,136,136,64,3,1,4,4,32,2,2,16,0.60211
128,136,136,64,3,2,1,1,32,1,1,2,1.82067
128,136,136,64,3,4,2,8,32,1,1,8,0.60726
128,136,136,64,3,2,2,8,32,2,1,4,0.42496
128,136,136,64,3,1,1,1,32,2,4,4,1.64864
128,136,136,64,3,4,2,4,32,2,2,2,1.25952
