K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
1024, 60, 60, 128, 3, 1, 1, 20, 32, 1, 1, 1, 0.965600
1024, 60, 60, 128, 3, 1, 1, 30, 32, 1, 1, 1, 0.895840
1024, 60, 60, 128, 3, 1, 2, 10, 32, 1, 1, 1, 0.916320
1024, 60, 60, 128, 3, 1, 2, 12, 32, 1, 1, 1, 0.917472
1024, 60, 60, 128, 3, 1, 2, 15, 32, 1, 1, 1, 1.018528
1024, 60, 60, 128, 3, 1, 2, 20, 32, 1, 1, 1, 0.906688
1024, 60, 60, 128, 3, 1, 2, 30, 32, 1, 1, 1, 0.976864
1024, 60, 60, 128, 3, 1, 3, 6, 32, 1, 1, 1, 1.060352
1024, 60, 60, 128, 3, 1, 3, 10, 32, 1, 1, 1, 1.049152
1024, 60, 60, 128, 3, 1, 3, 12, 32, 1, 1, 1, 1.005568
1024, 60, 60, 128, 3, 1, 3, 15, 32, 1, 1, 1, 1.039968
1024, 60, 60, 128, 3, 1, 3, 20, 32, 1, 1, 1, 1.058240
1024, 60, 60, 128, 3, 1, 4, 4, 32, 1, 1, 1, 1.160832
1024, 60, 60, 128, 3, 1, 4, 5, 32, 1, 1, 1, 1.137312
1024, 60, 60, 128, 3, 1, 4, 6, 32, 1, 1, 1, 1.127136
1024, 60, 60, 128, 3, 1, 4, 10, 32, 1, 1, 1, 1.065984
1024, 60, 60, 128, 3, 1, 4, 12, 32, 1, 1, 1, 1.132800
1024, 60, 60, 128, 3, 1, 4, 15, 32, 1, 1, 1, 1.146112
1024, 60, 60, 128, 3, 1, 4, 20, 32, 1, 1, 1, 1.270464
1024, 60, 60, 128, 3, 1, 5, 5, 32, 1, 1, 1, 1.140416
1024, 60, 60, 128, 3, 1, 5, 6, 32, 1, 1, 1, 1.099840
1024, 60, 60, 128, 3, 1, 5, 10, 32, 1, 1, 1, 1.144448
1024, 60, 60, 128, 3, 1, 5, 12, 32, 1, 1, 1, 1.174976
1024, 60, 60, 128, 3, 1, 5, 15, 32, 1, 1, 1, 1.244768
1024, 60, 60, 128, 3, 1, 6, 6, 32, 1, 1, 1, 1.108288
1024, 60, 60, 128, 3, 1, 6, 10, 32, 1, 1, 1, 1.105600
1024, 60, 60, 128, 3, 1, 6, 12, 32, 1, 1, 1, 1.151456
1024, 60, 60, 128, 3, 1, 6, 15, 32, 1, 1, 1, 1.331968
1024, 60, 60, 128, 3, 2, 1, 10, 32, 1, 1, 1, 1.232320
1024, 60, 60, 128, 3, 2, 1, 12, 32, 1, 1, 1, 1.135520
1024, 60, 60, 128, 3, 2, 1, 15, 32, 1, 1, 1, 0.835360
1024, 60, 60, 128, 3, 2, 1, 20, 32, 1, 1, 1, 0.927040
