K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
512,7,7,512,3,16,1,1,32,1,1,4,1.5902699999999999
512,7,7,512,3,1,1,7,32,7,1,32,0.13107
512,7,7,512,3,2,1,1,32,1,1,4,0.22016
512,7,7,512,3,4,1,1,32,1,1,1,1.26874
512,7,7,512,3,1,1,1,32,1,1,1,0.598
512,7,7,512,3,16,1,7,32,7,1,4,5.79328
512,7,7,512,3,16,1,7,32,7,1,32,0.80845
512,7,7,512,3,16,1,1,32,1,1,32,0.42189
512,7,7,512,3,4,1,7,32,1,1,4,0.366575
512,7,7,512,3,2,1,7,32,7,1,2,0.47923
512,7,7,512,3,8,1,7,32,1,1,1,10.67213
512,7,7,512,3,2,1,1,32,1,1,8,0.25395
512,7,7,512,3,4,1,1,32,7,1,16,0.15462
512,7,7,512,3,2,1,1,32,7,1,4,0.233985
512,7,7,512,3,4,1,7,32,7,1,16,0.12902
512,7,7,512,3,2,1,7,32,1,1,32,0.07779
512,7,7,512,3,2,1,1,32,1,7,32,0.14643
512,7,7,512,3,4,1,7,32,7,1,1,1.44282
512,7,7,512,3,1,1,1,32,7,1,8,0.2304
512,7,7,512,3,2,1,1,32,1,7,2,0.37274
512,7,7,512,3,16,1,1,32,1,1,16,0.63283
512,7,7,512,3,16,1,1,32,1,7,32,0.4096
512,7,7,512,3,1,7,7,32,1,1,32,0.079885
512,7,7,512,3,1,7,7,32,1,1,2,0.5293950000000001
512,7,7,512,3,8,1,1,32,1,7,2,1.127935
512,7,7,512,3,8,1,1,32,1,1,32,0.27034
512,7,7,512,3,2,1,1,32,1,1,16,0.25293
512,7,7,512,3,4,1,7,32,7,1,32,0.09318
512,7,7,512,3,8,1,7,32,7,1,2,5.5157799999999995
512,7,7,512,3,8,1,7,32,7,1,4,2.7827200000000003
512,7,7,512,3,16,1,1,32,7,1,4,1.586675
512,7,7,512,3,8,1,1,32,1,7,4,0.5888
512,7,7,512,3,16,1,1,32,7,1,2,3.08531
512,7,7,512,3,8,1,1,32,7,1,8,0.3328
512,7,7,512,3,4,1,1,32,7,1,32,0.19866
512,7,7,512,3,16,1,1,32,1,7,16,0.62464
512,7,7,512,3,8,1,7,32,1,1,2,5.33197
512,7,7,512,3,1,1,1,32,1,7,8,0.19047999999999998
512,7,7,512,3,2,1,1,32,1,7,4,0.20378
512,7,7,512,3,4,1,1,32,1,7,8,0.19869
512,7,7,512,3,16,1,1,32,1,7,2,3.066385
512,7,7,512,3,2,1,1,32,7,1,16,0.18125
512,7,7,512,3,8,1,7,32,1,1,16,0.71475
512,7,7,512,3,8,1,1,32,7,1,4,0.6144
512,7,7,512,3,1,1,7,32,1,1,1,1.44483
512,7,7,512,3,2,1,1,32,7,1,1,0.87962
512,7,7,512,3,2,1,1,32,7,1,2,0.41984
512,7,7,512,3,2,1,7,32,1,1,8,0.136175
512,7,7,512,3,16,1,1,32,1,1,8,0.87859
512,7,7,512,3,4,1,7,32,7,1,8,0.219635
512,7,7,512,3,4,1,7,32,1,1,2,0.70246
512,7,7,512,3,16,1,7,32,7,1,8,2.94707
512,7,7,512,3,8,1,1,32,1,7,16,0.19354
512,7,7,512,3,2,7,7,32,1,1,8,0.32154
512,7,7,512,3,1,1,1,32,1,7,4,0.16998
512,7,7,512,3,1,1,7,32,7,1,4,0.39322
512,7,7,512,3,8,1,1,32,1,7,1,2.23283
512,7,7,512,3,16,1,7,32,7,1,2,11.21024
512,7,7,512,3,16,1,1,32,7,1,1,6.08768
512,7,7,512,3,8,1,1,32,1,1,1,2.49856
512,7,7,512,3,4,1,7,32,1,1,16,0.12902
512,7,7,512,3,2,7,7,32,1,1,4,0.60621
512,7,7,512,3,1,1,1,32,1,7,32,0.18637
512,7,7,512,3,8,1,7,32,7,1,16,0.738815
512,7,7,512,3,2,7,7,32,1,1,1,2.25432
512,7,7,512,3,8,1,1,32,1,1,8,0.3369
512,7,7,512,3,4,1,1,32,7,1,4,0.35635
512,7,7,512,3,1,1,1,32,1,1,16,0.31335999999999997
512,7,7,512,3,1,1,7,32,1,1,8,0.21914
512,7,7,512,3,1,7,7,32,1,1,1,1.00045
512,7,7,512,3,8,1,1,32,7,1,2,1.17146
512,7,7,512,3,4,1,7,32,7,1,4,0.402945
512,7,7,512,3,4,1,1,32,1,7,2,0.65126
512,7,7,512,3,8,1,1,32,1,7,8,0.31848
512,7,7,512,3,16,1,1,32,7,1,16,0.64512
512,7,7,512,3,8,1,7,32,7,1,32,0.399345
512,7,7,512,3,16,1,1,32,7,1,8,0.87552
512,7,7,512,3,16,1,1,32,1,1,1,6.19008
512,7,7,512,3,2,1,7,32,7,1,1,0.92467
512,7,7,512,3,8,1,7,32,7,1,8,1.42029
512,7,7,512,3,2,1,1,32,1,7,8,0.12595
512,7,7,512,3,1,1,7,32,7,1,2,0.76083
512,7,7,512,3,8,1,7,32,1,1,4,2.68186
512,7,7,512,3,2,1,1,32,1,1,2,0.38502
512,7,7,512,3,1,1,1,32,1,7,1,0.57344
512,7,7,512,3,16,1,1,32,1,7,8,0.8586050000000001
512,7,7,512,3,2,1,7,32,1,1,1,0.83405
512,7,7,512,3,8,1,1,32,7,1,32,0.19046
512,7,7,512,3,2,7,7,32,1,1,32,0.12493
512,7,7,512,3,2,1,1,32,7,1,8,0.15053
512,7,7,512,3,4,1,1,32,1,1,32,0.27034
512,7,7,512,3,16,1,7,32,1,1,16,1.46842
512,7,7,512,3,4,1,7,32,1,1,1,1.40237
512,7,7,512,3,4,1,7,32,1,1,8,0.20378
512,7,7,512,3,8,1,1,32,7,1,1,2.34598
512,7,7,512,3,2,1,1,32,1,1,32,0.28774500000000003
512,7,7,512,3,16,1,7,32,7,1,16,1.523695
512,7,7,512,3,4,1,1,32,1,1,2,0.62054
512,7,7,512,3,1,1,7,32,7,1,8,0.21504
512,7,7,512,3,2,1,1,32,7,1,32,0.19558
512,7,7,512,3,2,1,7,32,7,1,8,0.14234
512,7,7,512,3,4,1,1,32,1,7,16,0.13005
512,7,7,512,3,4,1,1,32,1,1,16,0.22938
512,7,7,512,3,8,1,7,32,7,1,1,10.489854999999999
512,7,7,512,3,1,7,7,32,1,1,8,0.159725
512,7,7,512,3,16,1,1,32,1,1,2,3.1236800000000002
512,7,7,512,3,4,1,1,32,1,7,32,0.167425
512,7,7,512,3,1,1,1,32,7,1,4,0.2007
512,7,7,512,3,2,1,7,32,7,1,16,0.09523
512,7,7,512,3,8,1,1,32,1,7,32,0.14438
