K,H,W,C,R,TH,TW,TK,WH,WW,WK,BH,BW,BK,Time
32,544,544,3,3,1,34,4,1,16,2,1,1,1,0.25706
32,544,544,3,3,1,17,2,1,16,2,1,2,1,0.1239
32,544,544,3,3,1,4,2,1,8,4,1,17,1,0.17203
32,544,544,3,3,1,34,2,1,16,2,1,1,1,0.2263
32,544,544,3,3,1,1,8,1,32,1,1,17,1,0.18842
32,544,544,3,3,1,17,8,1,32,1,1,1,1,0.342545
32,544,544,3,3,1,34,4,1,8,4,2,2,1,0.236045
32,544,544,3,3,1,17,4,1,32,1,1,1,4,0.08141000000000001
32,544,544,3,3,1,17,2,1,16,2,1,2,4,0.10854
32,544,544,3,3,1,17,2,1,16,2,2,2,1,0.11059
32,544,544,3,3,1,4,4,1,8,4,1,17,1,0.13414
32,544,544,3,3,1,17,4,1,32,1,4,1,2,0.08707
32,544,544,3,3,1,17,8,1,32,1,4,1,1,0.47565
32,544,544,3,3,1,34,4,1,8,4,1,2,1,0.25037
32,544,544,3,3,1,17,2,1,32,1,1,1,2,0.1239
32,544,544,3,3,1,17,2,1,8,4,1,4,1,0.09418
32,544,544,3,3,1,34,4,1,16,2,1,1,2,0.25088
32,544,544,3,3,1,17,4,1,16,2,4,2,1,0.08704
32,544,544,3,3,1,17,2,1,32,1,2,1,4,0.10038
32,544,544,3,3,1,34,4,1,16,2,4,1,1,0.24168
32,544,544,3,3,1,17,4,1,32,1,2,1,4,0.08806
32,544,544,3,3,1,68,2,1,8,4,1,1,1,0.27341
32,544,544,3,3,1,17,8,1,16,2,1,2,1,0.47514
32,544,544,3,3,1,34,2,1,8,4,1,2,1,0.184845
32,544,544,3,3,1,1,16,1,32,1,1,17,1,0.14851
32,544,544,3,3,1,34,4,1,16,2,2,1,1,0.24680000000000002
32,544,544,3,3,1,17,4,1,32,1,4,1,1,0.11366
32,544,544,3,3,1,17,2,1,4,8,1,8,1,0.10854
32,544,544,3,3,1,68,2,1,8,4,1,1,2,0.1393
32,544,544,3,3,1,34,2,1,16,2,2,1,2,0.18739
32,544,544,3,3,1,17,4,1,32,1,1,1,2,0.09834
32,544,544,3,3,1,1,4,1,32,1,1,17,1,0.2775
32,544,544,3,3,1,2,2,1,16,2,1,17,1,0.25802
32,544,544,3,3,1,8,2,1,4,8,1,17,1,0.14234
32,544,544,3,3,1,34,2,1,16,2,1,1,4,0.10189000000000001
32,544,544,3,3,1,17,8,1,16,2,4,2,1,0.381935
32,544,544,3,3,1,17,4,1,32,1,2,1,2,0.09114
32,544,544,3,3,1,17,2,1,16,2,2,2,2,0.10136
32,544,544,3,3,1,17,2,1,16,2,1,2,2,0.094195
32,544,544,3,3,1,34,2,1,8,4,2,2,1,0.19044499999999998
32,544,544,3,3,1,17,4,1,32,1,2,1,1,0.11574
32,544,544,3,3,1,17,8,1,32,1,2,1,2,0.5360799999999999
32,544,544,3,3,1,68,2,1,8,4,2,1,1,0.253935
32,544,544,3,3,1,34,2,1,8,4,1,2,2,0.10141
32,544,544,3,3,1,17,8,1,32,1,2,1,1,0.424945
32,544,544,3,3,1,17,4,1,16,2,1,2,2,0.0809
32,544,544,3,3,1,17,4,1,32,1,1,1,1,0.14339
32,544,544,3,3,1,34,2,1,16,2,1,1,2,0.185875
32,544,544,3,3,1,17,2,1,32,1,4,1,2,0.0983
32,544,544,3,3,1,34,2,1,4,8,1,4,1,0.10189000000000001
32,544,544,3,3,1,17,2,1,8,4,2,4,1,0.10035
32,544,544,3,3,1,34,2,1,16,2,2,1,1,0.19968
32,544,544,3,3,1,1,2,1,32,1,1,17,1,0.273395
32,544,544,3,3,1,17,4,1,16,2,2,2,1,0.091665
32,544,544,3,3,1,17,4,1,16,2,1,2,1,0.09933
32,544,544,3,3,1,2,4,1,16,2,1,17,1,0.17101
32,544,544,3,3,1,17,8,1,32,1,4,1,2,0.38195
32,544,544,3,3,1,17,2,1,32,1,1,1,4,0.09371499999999999
32,544,544,3,3,1,2,8,1,16,2,1,17,1,0.13107
32,544,544,3,3,1,17,2,1,32,1,1,1,1,0.19149
32,544,544,3,3,1,17,4,1,8,4,2,4,1,0.08859500000000001
32,544,544,3,3,1,17,2,1,32,1,2,1,2,0.110575
32,544,544,3,3,1,17,2,1,16,2,4,2,1,0.099345
32,544,544,3,3,1,17,4,1,8,4,1,4,1,0.080915
32,544,544,3,3,1,17,8,1,16,2,2,2,1,0.5340199999999999
32,544,544,3,3,1,68,2,1,4,8,1,2,1,0.14032
32,544,544,3,3,1,34,4,1,16,2,2,1,2,0.238595
32,544,544,3,3,1,17,2,1,32,1,1,1,8,0.10854
32,544,544,3,3,1,17,2,1,32,1,2,1,1,0.14694000000000002
32,544,544,3,3,1,17,2,1,32,1,4,1,1,0.15466
32,544,544,3,3,1,17,4,1,16,2,2,2,2,0.08807999999999999
32,544,544,3,3,1,34,2,1,16,2,4,1,1,0.192525
32,544,544,3,3,1,17,8,1,32,1,1,1,2,0.479745
32,544,544,3,3,1,17,2,1,8,4,1,4,2,0.10957
