K,H,W,C,R,Th,Tw,Tk,Wh,Ww,Wk,Bh,Bw,Bk,Time
1024, 936, 936, 512, 1, 1, 9, 2, 1, 4, 8, 1, 26, 1, 413.296875 
1024, 936, 936, 512, 1, 1, 9, 2, 1, 8, 4, 1, 13, 1, 404.229187 
1024, 748, 748, 128, 1, 1, 11, 2, 1, 4, 8, 1, 17, 1, 79.311966 
1024, 748, 748, 128, 1, 1, 11, 4, 1, 4, 8, 1, 17, 1, 46.140129 
512, 256, 256, 16, 1, 1, 1, 2, 1, 8, 4, 1, 32, 1, 2.737152 
512, 256, 256, 16, 1, 1, 1, 2, 1, 16, 2, 1, 16, 1, 1.731648 
512, 256, 256, 16, 1, 1, 1, 2, 1, 16, 2, 2, 16, 1, 2.787808 
512, 256, 256, 16, 1, 1, 1, 2, 1, 16, 2, 1, 16, 2, 2.737760 
512, 256, 256, 16, 1, 1, 1, 2, 1, 32, 1, 1, 8, 1, 1.698432 
512, 256, 256, 16, 1, 1, 1, 2, 1, 32, 1, 2, 8, 1, 1.885728 
512, 256, 256, 16, 1, 1, 1, 2, 1, 32, 1, 4, 8, 1, 2.635360 
512, 256, 256, 16, 1, 1, 1, 2, 1, 32, 1, 1, 8, 2, 1.725920 
512, 256, 256, 16, 1, 1, 1, 2, 1, 32, 1, 2, 8, 2, 2.789120 
512, 256, 256, 16, 1, 1, 1, 2, 1, 32, 1, 1, 8, 4, 2.738112 
512, 256, 256, 16, 1, 1, 1, 4, 1, 8, 4, 1, 32, 1, 1.612544 
512, 256, 256, 16, 1, 1, 1, 4, 1, 16, 2, 1, 16, 1, 0.965344 
512, 256, 256, 16, 1, 1, 1, 4, 1, 16, 2, 2, 16, 1, 1.480480 
512, 256, 256, 16, 1, 1, 1, 4, 1, 16, 2, 1, 16, 2, 1.605440 
512, 256, 256, 16, 1, 1, 1, 4, 1, 32, 1, 1, 8, 1, 0.975392 
512, 256, 256, 16, 1, 1, 1, 4, 1, 32, 1, 2, 8, 1, 1.285184 
512, 256, 256, 16, 1, 1, 1, 4, 1, 32, 1, 4, 8, 1, 1.424224 
512, 256, 256, 16, 1, 1, 1, 4, 1, 32, 1, 1, 8, 2, 0.964960 
512, 256, 256, 16, 1, 1, 1, 4, 1, 32, 1, 2, 8, 2, 1.483104 
512, 256, 256, 16, 1, 1, 1, 4, 1, 32, 1, 1, 8, 4, 1.605888 
512, 256, 256, 16, 1, 1, 1, 8, 1, 8, 4, 1, 32, 1, 1.016800 
512, 256, 256, 16, 1, 1, 1, 8, 1, 16, 2, 1, 16, 1, 0.758816 
512, 256, 256, 16, 1, 1, 1, 8, 1, 16, 2, 2, 16, 1, 0.867808 
512, 256, 256, 16, 1, 1, 1, 8, 1, 16, 2, 1, 16, 2, 1.021728 
512, 256, 256, 16, 1, 1, 1, 8, 1, 32, 1, 1, 8, 1, 0.604800 
512, 256, 256, 16, 1, 1, 1, 8, 1, 32, 1, 2, 8, 1, 0.771392 
512, 256, 256, 16, 1, 1, 1, 8, 1, 32, 1, 4, 8, 1, 0.814080 
512, 256, 256, 16, 1, 1, 1, 8, 1, 32, 1, 1, 8, 2, 0.760128 
512, 256, 256, 16, 1, 1, 1, 8, 1, 32, 1, 2, 8, 2, 0.864640 
512, 256, 256, 16, 1, 1, 1, 8, 1, 32, 1, 1, 8, 4, 1.021248 
512, 256, 256, 16, 1, 1, 1, 16, 1, 8, 4, 1, 32, 1, 0.734816 
512, 256, 256, 16, 1, 1, 1, 16, 1, 16, 2, 1, 16, 1, 0.439744 
512, 256, 256, 16, 1, 1, 1, 16, 1, 16, 2, 2, 16, 1, 0.578464 
512, 256, 256, 16, 1, 1, 1, 16, 1, 16, 2, 1, 16, 2, 0.735360 
512, 256, 256, 16, 1, 1, 1, 16, 1, 32, 1, 1, 8, 1, 0.438656 
512, 256, 256, 16, 1, 1, 1, 16, 1, 32, 1, 2, 8, 1, 0.509728 
512, 256, 256, 16, 1, 1, 1, 16, 1, 32, 1, 4, 8, 1, 0.536896 
512, 256, 256, 16, 1, 1, 1, 16, 1, 32, 1, 1, 8, 2, 0.444320 
512, 256, 256, 16, 1, 1, 1, 16, 1, 32, 1, 2, 8, 2, 0.575328 
