K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,28,28,64,3,2,2,7,32,2,2,32,0.0512
128,28,28,64,3,2,4,7,32,7,1,1,0.21453
128,28,28,64,3,1,2,4,32,1,1,8,0.04608
128,28,28,64,3,4,4,4,32,7,1,16,0.15462
128,28,28,64,3,2,2,4,32,7,1,2,0.06554
128,28,28,64,3,1,2,4,32,2,1,16,0.055795
128,28,28,64,3,4,1,1,32,7,4,1,0.15667
128,28,28,64,3,4,1,1,32,1,14,2,0.08602
128,28,28,64,3,2,1,2,32,1,2,8,0.06246
128,28,28,64,3,2,1,2,32,1,7,16,0.06656
128,28,28,64,3,2,2,2,32,7,1,4,0.06451
128,28,28,64,3,1,2,4,32,7,1,32,0.08499
128,28,28,64,3,2,2,7,32,7,2,32,0.07168
128,28,28,64,3,1,2,4,32,14,1,1,0.1024
128,28,28,64,3,2,1,4,32,4,1,1,0.09421
128,28,28,64,3,2,1,1,32,7,1,8,0.13005
128,28,28,64,3,4,1,1,32,2,1,2,0.090095
128,28,28,64,3,4,1,2,32,1,1,16,0.11571
128,28,28,64,3,1,1,1,32,7,1,2,0.11059
128,28,28,64,3,2,1,1,32,1,14,32,0.18534
128,28,28,64,3,1,2,2,32,2,2,2,0.05427
128,28,28,64,3,4,1,2,32,1,2,8,0.06144
128,28,28,64,3,4,1,1,32,7,1,32,0.347635
128,28,28,64,3,1,2,2,32,7,2,2,0.07014000000000001
128,28,28,64,3,4,1,14,32,2,1,4,0.05272
128,28,28,64,3,2,1,4,32,4,1,4,0.04096
128,28,28,64,3,1,1,2,32,7,1,16,0.11981
128,28,28,64,3,2,1,1,32,2,4,4,0.07578
128,28,28,64,3,2,2,4,32,7,1,4,0.0512
128,28,28,64,3,1,1,1,32,1,2,8,0.11419499999999999
128,28,28,64,3,1,2,2,32,2,1,16,0.10752
128,28,28,64,3,2,1,1,32,14,1,2,0.08704
128,28,28,64,3,1,1,2,32,14,1,4,0.07475
128,28,28,64,3,2,1,1,32,1,1,16,0.21504
128,28,28,64,3,4,1,1,32,14,2,16,0.15872
128,28,28,64,3,2,2,2,32,2,2,1,0.10445
128,28,28,64,3,2,1,4,32,2,1,4,0.041985
128,28,28,64,3,4,2,2,32,1,2,16,0.07373
128,28,28,64,3,4,2,4,32,1,1,2,0.09216
128,28,28,64,3,1,2,2,32,1,2,32,0.11264
128,28,28,64,3,1,2,2,32,14,2,2,0.07578
128,28,28,64,3,2,1,1,32,4,1,32,0.35021
128,28,28,64,3,1,2,2,32,1,1,16,0.10957
128,28,28,64,3,2,1,1,32,4,7,8,0.09523
128,28,28,64,3,4,1,1,32,7,4,4,0.09213
128,28,28,64,3,4,1,2,32,4,2,1,0.14234
128,28,28,64,3,2,1,7,32,2,2,32,0.05325
128,28,28,64,3,4,1,1,32,4,4,16,0.12083
128,28,28,64,3,1,2,2,32,14,2,8,0.07576
128,28,28,64,3,4,1,1,32,2,7,32,0.18944
128,28,28,64,3,1,1,2,32,1,7,2,0.0512
128,28,28,64,3,2,1,1,32,1,1,32,0.36966
128,28,28,64,3,2,1,1,32,4,1,8,0.128
128,28,28,64,3,1,2,2,32,1,7,4,0.04506
128,28,28,64,3,1,4,7,32,7,1,16,0.09011
128,28,28,64,3,1,1,7,32,7,1,8,0.03891
128,28,28,64,3,1,1,1,32,1,4,2,0.08397
128,28,28,64,3,4,2,2,32,14,1,8,0.09011
128,28,28,64,3,1,1,1,32,1,2,4,0.09626
128,28,28,64,3,2,1,1,32,14,1,1,0.11571
128,28,28,64,3,1,1,2,32,4,1,32,0.19354
128,28,28,64,3,2,1,1,32,2,2,16,0.13926
128,28,28,64,3,1,1,7,32,7,2,32,0.06656
128,28,28,64,3,1,1,7,32,2,1,8,0.03584
128,28,28,64,3,4,1,1,32,7,1,2,0.09318
128,28,28,64,3,4,2,2,32,14,1,1,0.20992
128,28,28,64,3,4,1,1,32,1,4,32,0.18125
128,28,28,64,3,1,1,1,32,2,1,16,0.22221
128,28,28,64,3,1,1,7,32,4,1,1,0.06758
128,28,28,64,3,4,1,7,32,1,2,32,0.05939
128,28,28,64,3,4,2,4,32,7,1,32,0.116205
128,28,28,64,3,1,1,4,32,2,1,32,0.09933
128,28,28,64,3,1,2,2,32,2,2,16,0.08909
128,28,28,64,3,2,2,4,32,1,1,2,0.05734
128,28,28,64,3,1,1,2,32,1,1,16,0.13107
128,28,28,64,3,4,2,2,32,2,1,16,0.11674
128,28,28,64,3,4,1,14,32,2,1,16,0.04709
128,28,28,64,3,2,2,4,32,14,1,2,0.08704
128,28,28,64,3,4,2,2,32,7,1,4,0.08192
128,28,28,64,3,1,1,1,32,4,1,16,0.22221
128,28,28,64,3,4,1,1,32,4,1,32,0.34048
128,28,28,64,3,4,2,2,32,1,2,4,0.05475
128,28,28,64,3,2,1,1,32,7,4,1,0.10342
128,28,28,64,3,4,1,4,32,4,1,16,0.06912
128,28,28,64,3,1,1,7,32,7,2,4,0.03683
128,28,28,64,3,1,2,7,32,14,1,16,0.07066
128,28,28,64,3,1,1,7,32,4,1,8,0.03584
128,28,28,64,3,2,2,7,32,2,1,32,0.072685
128,28,28,64,3,2,1,1,32,4,2,1,0.10035
128,28,28,64,3,2,1,1,32,1,4,16,0.11162
128,28,28,64,3,1,4,7,32,1,1,2,0.06349
128,28,28,64,3,1,1,1,32,7,4,1,0.10445
128,28,28,64,3,4,2,7,32,1,1,2,0.09114
128,28,28,64,3,2,4,7,32,1,2,32,0.0655
128,28,28,64,3,2,1,4,32,2,1,8,0.04813
128,28,28,64,3,4,2,4,32,14,1,4,0.09728
128,28,28,64,3,2,2,14,32,1,1,1,0.1239
128,28,28,64,3,4,2,4,32,14,1,32,0.14544
128,28,28,64,3,2,1,14,32,1,1,2,0.05222
128,28,28,64,3,1,1,1,32,1,1,16,0.24166
128,28,28,64,3,1,1,14,32,14,1,4,0.04096
128,28,28,64,3,2,1,14,32,7,1,8,0.03686
128,28,28,64,3,2,2,7,32,1,1,1,0.09523
128,28,28,64,3,4,2,2,32,1,2,32,0.099345
128,28,28,64,3,1,1,14,32,14,1,2,0.07066
128,28,28,64,3,1,1,14,32,4,1,16,0.03584
128,28,28,64,3,2,2,2,32,1,1,1,0.11059
128,28,28,64,3,4,1,1,32,1,1,32,0.36557
128,28,28,64,3,2,1,14,32,14,1,16,0.04915
128,28,28,64,3,1,1,2,32,7,2,8,0.07578
128,28,28,64,3,2,1,1,32,14,2,16,0.16896
128,28,28,64,3,4,2,7,32,2,1,4,0.06553500000000001
128,28,28,64,3,4,1,4,32,2,1,32,0.09933
128,28,28,64,3,1,1,2,32,1,7,16,0.06963
128,28,28,64,3,4,2,7,32,7,1,2,0.11469
128,28,28,64,3,1,1,1,32,1,14,32,0.20275
128,28,28,64,3,1,2,7,32,7,1,16,0.05939
128,28,28,64,3,4,1,4,32,4,1,2,0.19149
128,28,28,64,3,2,1,1,32,7,4,2,0.08909
128,28,28,64,3,1,4,7,32,7,1,32,0.12902
128,28,28,64,3,4,1,1,32,2,4,2,0.08294
128,28,28,64,3,1,2,4,32,7,1,16,0.05738
128,28,28,64,3,1,2,2,32,1,1,1,0.08909
128,28,28,64,3,1,2,7,32,2,1,1,0.074225
128,28,28,64,3,1,1,1,32,7,2,2,0.09933
128,28,28,64,3,1,2,2,32,7,2,4,0.05939
128,28,28,64,3,1,1,7,32,1,2,2,0.03994
128,28,28,64,3,4,1,1,32,4,7,4,0.08856
128,28,28,64,3,2,1,2,32,2,1,2,0.06246
128,28,28,64,3,4,1,1,32,4,1,1,0.13107
128,28,28,64,3,4,1,7,32,7,1,2,0.07885
128,28,28,64,3,1,1,2,32,1,2,16,0.0896
128,28,28,64,3,2,1,2,32,14,1,2,0.07217499999999999
128,28,28,64,3,2,2,7,32,1,2,1,0.09114
128,28,28,64,3,1,1,14,32,2,1,16,0.03584
128,28,28,64,3,1,1,4,32,4,1,1,0.09523
128,28,28,64,3,2,1,2,32,4,2,8,0.06144
128,28,28,64,3,4,2,2,32,7,2,4,0.06451
128,28,28,64,3,1,1,1,32,2,2,32,0.24986
128,28,28,64,3,1,2,7,32,1,2,4,0.032255
128,28,28,64,3,2,1,1,32,2,7,4,0.07475
128,28,28,64,3,2,1,1,32,14,1,4,0.10342
128,28,28,64,3,1,2,2,32,14,2,4,0.07475
128,28,28,64,3,1,1,4,32,1,1,16,0.0727
128,28,28,64,3,2,4,4,32,1,1,32,0.10854
128,28,28,64,3,4,2,2,32,2,2,4,0.0553
128,28,28,64,3,1,1,2,32,2,7,2,0.05427
128,28,28,64,3,1,1,14,32,7,1,2,0.049135
128,28,28,64,3,2,1,1,32,2,1,4,0.09933
128,28,28,64,3,2,1,7,32,14,1,1,0.12902
128,28,28,64,3,4,1,4,32,4,1,1,0.36147
128,28,28,64,3,2,1,14,32,14,1,8,0.03891
128,28,28,64,3,2,1,2,32,1,2,2,0.05632
128,28,28,64,3,4,1,2,32,4,1,4,0.06246
128,28,28,64,3,2,4,4,32,7,1,16,0.0809
128,28,28,64,3,1,1,7,32,1,1,16,0.04506
128,28,28,64,3,1,1,7,32,1,2,4,0.03072
128,28,28,64,3,2,1,7,32,1,2,1,0.085485
128,28,28,64,3,1,1,1,32,14,1,1,0.10854
128,28,28,64,3,2,1,7,32,7,1,2,0.057325
128,28,28,64,3,1,1,1,32,2,14,8,0.11162
